,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Domaine Trapet
Latricières-Chambertin Grand Cru 2017",2017,$625,42.2106%;,31.4569%;,8.57757%;,70.6637%;
1,"Maison Champy
Mazis-Chambertin Grand Cru 2015",2015,$399.97,46.2802%;,33.2556%;,4.44347%;,74.9419%;
2,"Château de la Tour
Vieilles Vignes Clos Vougeot Grand Cru 2014",2014,$599.97,45.4508%;,35.8906%;,13.7492%;,70.8812%;
3,"Louis Latour
Romanée-Saint-Vivant Grand Cru Les Quatre Journaux 2016",2016,$499.97,44.2396%;,33.5405%;,22.4466%;,71.4675%;
4,"Domaine Humbert Frères
Charmes-Chambertin Grand Cru 2018",2018,$345.99,49.2769%;,36.0952%;,15.6596%;,75.7523%;
5,"Lucien le Moine
Clos Saint-Denis Grand Cru 2018",2018,$449.99,40.7132%;,36.4983%;,19.6042%;,70.2163%;
6,"Michel Magnien
Charmes-Chambertin Grand Cru 2020",2020,$299.99,44.0985%;,28.4092%;,3.48322%;,73.7504%;
7,"Roux Père & Fils
Vieilles Vignes Chambolle-Musigny 2018",2018,$93.33,43.5617%;,42.6027%;,19.452%;,59.7945%;
8,"Domaine Armand Heitz
Pommard 1er Cru 'Les Rugiens' 2018",2018,$156.83,39.3055%;,27.5972%;,16.4067%;,64.7609%;
9,"Domaine de la Vougeraie
Clos de Vougeot Grand Cru 2021",2021,$481.99,45.3712%;,32.2209%;,6.53127%;,69.5803%;
10,"Jean-Luc & Eric Burguet
Chambertin Clos de Bèze Grand Cru 2019",2019,$893.99,41.643%;,30.0422%;,18.4902%;,59.6734%;
11,"Albert Bichot
Latricières-Chambertin Grand Cru 2020",2020,$479.99,51.9259%;,40.5396%;,0px;,75.5657%;
12,"Domaine Humbert Frères
Charmes-Chambertin Grand Cru 2019",2019,$349.99,49.2769%;,36.0952%;,15.6596%;,75.7523%;
13,"Lucien le Moine
Chambertin-Clos de Beze Grand Cru 2020",2020,$799.99,47.8329%;,34.7512%;,5.80023%;,77.8063%;
14,"Domaine du Pavillon
Pommard 'Clos des Ursulines' (Monopole) 2019",2019,$99.99,39.0405%;,26.0777%;,3.7309%;,63.0861%;
15,"Henri Rebourseau
Gevrey-Chambertin 1er Cru 'Fonteny' 2018",2018,$224.99,40.2335%;,41.9915%;,5.68133%;,76.5576%;
16,"Lucien le Moine
Clos de Vougeot Grand Cru 2018",2018,$550,50.5108%;,34.947%;,5.64532%;,75.8583%;
17,"Lignier-Michelot
Clos de la Roche Grand Cru 2018",2018,$464.99,49.5892%;,31.6046%;,18.5548%;,69.0084%;
18,"Domaine Humbert Frères
Charmes-Chambertin Grand Cru 2020",2020,$379.99,49.2769%;,36.0952%;,15.6596%;,75.7523%;
19,"Roux Père & Fils
Vougeot 1er Cru 'Les Petits Vougeots' 2019",2019,$128.17,43.3344%;,27.9553%;,5.77721%;,69.4834%;
20,"Domaine Bertagna
Chambertin Grand Cru 2013",2013,$251.17,45.9841%;,31.9776%;,11.7565%;,67.4141%;
21,"Domaine Bertagna
Clos Saint Denis Grand Cru 2013",2013,$192,48.125%;,30.8276%;,18.0636%;,70.6905%;
22,"Kosta Browne
Beaune Premier Cru 2020",2020,$169.99,30%;,22.3611%;,0px;,67.5%;
23,"Domaine Trapet
Chapelle-Chambertin Grand Cru 2020",2020,$799.99,39.2657%;,28.6335%;,9.00266%;,70.0126%;
24,"Lucien le Moine
Clos de Vougeot Grand Cru 2019",2019,$525,50.5108%;,34.947%;,5.64532%;,75.8583%;
25,"Domaine Faiveley
Mazis-Chambertin Grand Cru 2021",2021,$603.50,44.0758%;,33.8802%;,11.3178%;,68.7072%;
26,"Domaine Pierre Gelin
Chambertin Clos de Bèze Grand Cru 2020",2020,$568,52.9974%;,38.2367%;,9.33652%;,70.7043%;
27,"Château de la Tour
Clos Vougeot Grand Cru 2019",2019,$435,47.9935%;,38.402%;,7.4153%;,71.3894%;
28,"Joseph Drouhin
Clos de Vougeot Grand Cru 2019",2019,$419.99,42.3195%;,35.2328%;,10.2768%;,69.0066%;
29,"Joseph Drouhin
Bonnes-Mares Grand Cru 2019",2019,$835.99,45.9393%;,33.233%;,13.8646%;,68.6681%;
30,"Domaine Pierre Gelin
Chambertin Clos de Bèze Grand Cru 2019",2019,$501.69,52.9974%;,38.2367%;,9.33652%;,70.7043%;
31,"Château de Chamirey
Mercurey 1er Cru 'Clos du Roi' 2019",2019,$79.71,21.7914%;,22.9684%;,2.52337%;,63.4119%;
32,"Domaine Georges Mugneret-Gibourg
Chambolle-Musigny 1er Cru 'Les Feusselottes' 2013",2013,$804.80,37.4595%;,29.9641%;,13.253%;,68.2934%;
33,"Domaine Jacques Prieur
Chambertin Grand Cru 2014",2014,$825,47.49%;,31.6672%;,2.47595%;,71.7809%;
34,"Joseph Drouhin
Chambertin Clos de Bèze Grand Cru 2020",2020,$937.67,43.4055%;,36.9388%;,12.874%;,78.1421%;
35,"Bouchard Père & Fils
Bonnes-Mares Grand Cru 2013",2013,$459.65,50.187%;,33.0347%;,9.37123%;,65.5127%;
36,"Joseph Drouhin
Bonnes-Mares Grand Cru 2020",2020,$986.97,45.9393%;,33.233%;,13.8646%;,68.6681%;
37,"Prosper Maufoux
Clos-Vougeot Grand Cru 2018",2018,$308.37,55%;,25.8333%;,5%;,75.8333%;
38,"Bouchard Père & Fils
Clos Vougeot Grand Cru 2013",2013,$288.75,41.5392%;,31.2468%;,11.5404%;,70.983%;
39,"Domaine Jacques Prieur
Clos Vougeot Grand Cru 2016",2016,$301.12,46.5345%;,39.0513%;,13.032%;,71.8492%;
40,"Domaine Jacques Prieur
Chambertin Grand Cru 2018",2018,$799.99,47.49%;,31.6672%;,2.47595%;,71.7809%;
41,"Pierre Mayeul
Corton Grand Cru 'Les Renardes' 2017",2017,$286.13,34.7005%;,27.6156%;,0.0424525%;,69.3726%;
42,"Domaine des Perdrix
Vosne-Romanée 2019",2019,$147.50,45.946%;,40.9827%;,8.43124%;,68.6254%;
43,"Domaine des Perdrix
Nuits-Saint-Georges Aux Perdrix Premier Cru 2019",2019,$173,45.0036%;,34.5259%;,9.41829%;,70.7903%;
44,"Georges Noëllat
Grands-Échezeaux Grand Cru 2000",2000,$821.63,42.8329%;,33.2969%;,13.5774%;,74.0044%;
45,"Joseph Drouhin
Chambertin Clos de Bèze Grand Cru 2019",2019,$793.01,43.4055%;,36.9388%;,12.874%;,78.1421%;
46,"Bouchard Père & Fils
Clos Vougeot Grand Cru 2020",2020,$517.80,41.5392%;,31.2468%;,11.5404%;,70.983%;
47,"Domaine des Perdrix
Nuits-Saint-Georges 2020",2020,$115.01,41.5951%;,33.7281%;,10.8192%;,71.8287%;
