,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Domaine Jean-Louis Chave
Saint-Joseph 2020",2020,$105.02,85%;,40.7434%;,5.44852%;,42.0191%;
1,"Domaine Jean-Louis Chave
Hermitage Selection Farconnet 2018",2018,$88.45,85%;,69.0974%;,6.74481%;,55.4596%;
2,"Domaine Jean-Louis Chave
Hermitage Selection Farconnet 2019",2019,$88.45,85%;,69.0974%;,6.74481%;,55.4596%;
3,"Domaine de La Chapelle
Hermitage La Chapelle Rouge 2019",2019,$223.02,83.1154%;,67.4268%;,9.73907%;,54.61%;
4,"Auguste Clape
Renaissance Cornas 2018",2018,$105.02,83.1458%;,52.7518%;,6.52017%;,56.8761%;
5,"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Les Origines 2018",2018,$70.75,85%;,42.4578%;,12.004%;,42.878%;
6,"Bernard Burgaud
Côte-Rôtie 2019",2019,$82.55,70.9512%;,64.152%;,6.54445%;,63.6708%;
7,"Delas
Domaine des Tourettes Hermitage Rouge 2020",2020,$104.95,84.5011%;,68.8611%;,8.14373%;,55.9865%;
8,"Château de Saint Cosme
Saint Cosme Côte-Rotie 2020",2020,$120.99,71.064%;,68.5065%;,6.537%;,64.8061%;
9,"M. Chapoutier
Crozes-Ermitage Les Varonniers 2017",2017,$99.98,63.7708%;,51.2941%;,8.65578%;,46.5254%;
10,"E. Guigal
Châteauneuf-du-Pape 2001",2001,$69.99,84.6865%;,40.7267%;,6.61612%;,45.141%;
11,"Domaine de la Janasse
Châteauneuf-du-Pape Chaupin 2020",2020,$99.99,82.2499%;,40.5419%;,17.6465%;,44.6634%;
12,"M. Chapoutier
Côte-Rôtie La Mordorée 2007",2007,$115.95,69.3427%;,66.1683%;,5.99777%;,64.7653%;
13,"Domaine de La Chapelle
Hermitage La Chapelle Rouge 2009",2009,$269.95,83.1154%;,67.4268%;,9.73907%;,54.61%;
14,"Le Clos des Cazaux
Prestige 2020",2020,$49.99,67.6143%;,44.0044%;,3.38889%;,49.843%;
15,"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes 2021",2021,$141.74,85%;,43.9393%;,5.10871%;,44.7253%;
16,"La Boutinière
Châteauneuf-du-Pape Rouge 2020",2020,$52.49,83.0601%;,37.2028%;,4.21383%;,47.3101%;
17,"Yves Cuilleron
Côte-Rôtie Bassenon 2020",2020,$98.69,71.2426%;,66.6807%;,5.25286%;,66.5802%;
18,"Domaine du Père Caboche
Châteauneuf-du-Pape 2022",2022,$34.60,85%;,40.0601%;,9.67762%;,44.0673%;
19,"Château Pesquie
Ventoux Artemia 2020",2020,$36.74,66.816%;,48.6745%;,13.5012%;,54.8884%;
20,"Domaine de Saje
Châteauneuf-du-Pape Rouge 2021",2021,$53.54,85%;,33.3252%;,0px;,41.0622%;
21,"Paul Autard
Châteauneuf-du-Pape 2020",2020,$47.24,85%;,39.3746%;,6.73618%;,45.5976%;
22,"Pères de l'Église
Le Calice de Saint Pierre Châteauneuf-du-Pape Rouge 2022",2022,$48.29,82.8158%;,38.2891%;,9.19918%;,46.4709%;
23,"Clos des Papes (Paul Avril)
Châteauneuf-du-Pape 2021",2021,$131.24,81.8996%;,39.3383%;,14.0024%;,44.2708%;
24,"Louis Barruol
La Boisselée Côte-Rôtie 2019",2019,$102.89,75.1942%;,69.4771%;,4.75598%;,68.4353%;
25,"Louis Barruol
La Pierrelle Hermitage 2020",2020,$97.64,85%;,76.3996%;,10.5181%;,54.4985%;
26,"Château de Saint Cosme
Gigondas Le Claux 2021",2021,$119.99,65.0874%;,53.6339%;,11.3159%;,55.2799%;
27,"Château de Saint Cosme
Saint Cosme Côte-Rotie 2021",2021,$69.99,71.064%;,68.5065%;,6.537%;,64.8061%;
28,"Francois Villard
Côte-Rôtie Le Gallet Blanc 2018",2018,$91.79,74.9826%;,65.8136%;,6.67641%;,63.3228%;
29,"Domaine Lafond
Châteauneuf-du-Pape Roc Epine 2017",2017,$50.99,82.0381%;,36.994%;,6.82043%;,45.7951%;
30,"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes 2019",2019,$94.99,85%;,43.9393%;,5.10871%;,44.7253%;
31,"Pegau
Châteauneuf-du-Pape Cuvée Laurence 2013",2013,$499.99,83.5078%;,40.4617%;,13.9384%;,44.3571%;
32,"Pegau
Châteauneuf-du-Pape Cuvée Laurence 2019",2019,$125.99,83.5078%;,40.4617%;,13.9384%;,44.3571%;
33,"Domaine Jamet
Côte-Rôtie 2008",2008,$289.99,71.4479%;,68.9926%;,7.55839%;,65.6606%;
34,"Pegau
Cuvée Réservée Châteauneuf-du-Pape Rouge 2020",2020,$79.99,85%;,42.4106%;,12.0861%;,44.4954%;
35,"Domaine de Saje
Châteauneuf-du-Pape Rouge 2019",2019,$49.99,85%;,33.3252%;,0px;,41.0622%;
