,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Domaine Alain Verset
Cornas 2017",2017,$56.99,83.1789%;,53.9465%;,6.47987%;,57.4998%;
1,"Jean-Luc Colombo
Syrah Cornas Les Ruchets 2015",2015,$106.67,85%;,50.2869%;,9.1738%;,56.1419%;
2,"Domaine de Cristia
Châteauneuf-du-Pape Renaissance 2017",2017,$333.33,85%;,38.6655%;,12.9217%;,40.9537%;
3,"Domaine du Vieux Télégraphe
Télégramme Châteauneuf-du-Pape 2019",2019,$74.99,82.0464%;,40.35%;,5.56647%;,47.0839%;
4,"Domaine Courbis
La Sabarotte Cornas 2019",2019,$79.92,85%;,54.9437%;,10.337%;,55.9986%;
5,"Jean-Luc Colombo
Syrah Cornas Les Ruchets 2013",2013,$100.33,85%;,50.2869%;,9.1738%;,56.1419%;
6,"M. Chapoutier
Côte-Rôtie La Mordorée 2016",2016,$367.50,69.3427%;,66.1683%;,5.99777%;,64.7653%;
