,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Joseph Drouhin
Vosne-Romanée Premier Cru 'Petits Monts' 2021",2021,$706.82,42.8299%;,29.2072%;,0px;,68.9101%;
1,"Domaine Marquis d'Angerville
Fremiet Volnay 1er Cru 2019",2019,$265.50,32.6602%;,25.0215%;,8.29497%;,63.0484%;
2,"Domaine Marquis d'Angerville
Volnay Premier Cru 2021",2021,$153.35,34.4843%;,24.3759%;,13.3031%;,65.9466%;
3,"Benjamin Leroux
Volnay 1er Cru 'Les Caillerets' 2021",2021,$271.35,31.516%;,21.4539%;,26.1436%;,61.8351%;
4,"Château de la Tour
Vieilles Vignes Clos Vougeot Grand Cru 2016",2016,$353.95,45.4508%;,35.8906%;,13.7492%;,70.8812%;
5,"La Pousse d'Or
Bonnes-Mares Grand Cru 2016",2016,$383.50,54.7896%;,37.9547%;,7.54528%;,67.9764%;
6,"Domaine Coche-Dury
Monthélie 2018",2018,$383.50,30.1253%;,20.6304%;,13.5595%;,60.943%;
7,"Domaine Julien
Échezeaux Grand Cru 2018",2018,$330.35,40.995%;,40.0381%;,7.90517%;,78.6746%;
8,"Michel Noëllat
Les Beaux Monts Vosne-Romanée 1er Cru 2020",2020,$235.95,43.7296%;,33.2354%;,7.06238%;,70.0127%;
9,"Domaine Sylvain Cathiard
Bourgogne Hautes-Côtes de Nuits 'Les Dames Huguette' 2020",2020,$116.82,29.2725%;,27.7774%;,6.03445%;,72.2089%;
10,"Comte Armand
Pommard 1er Cru 'Clos des Epeneaux' Monopole 2016",2016,$230.10,37.862%;,29.8945%;,9.81167%;,64.4259%;
11,"Robert Groffier
Les Amoureuses Chambolle-Musigny 1er Cru 2009",2009,$942.82,43.3993%;,31.6757%;,17.2067%;,69.6543%;
12,"Domaine Bruno Clair
Bonnes Mares Grand Cru 2020",2020,$707.95,46.6206%;,37.5919%;,9.97328%;,70.6532%;
13,"Domaine des Comtes Lafon
Volnay Santenots-Du-Milieu Premier Cru 2019",2019,$230.10,36.6708%;,28.9438%;,8.59141%;,63.9107%;
14,"Benjamin Leroux
Volnay 1er Cru 'Clos de la Cave des Ducs' 2019",2019,$141.55,34.8552%;,29.6079%;,3.84855%;,64.6125%;
15,"Domaine Coche-Dury
Meursault Rouge 2017",2017,$470.82,34.3244%;,24.0735%;,9.83471%;,65.6859%;
