,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Thibault Liger-Belair
Nuits-Saint-Georges Premier Cru 'Les Saint Georges' 2019",2019,$259.99,45.4524%;,34.4302%;,11.9053%;,71.3471%;
1,"Aurélien Verdet
Vosne-Romanée 1er Cru 'Les Beaux Monts' 2014",2014,$289.99,38.0957%;,29.1868%;,7.71471%;,73.4888%;
2,"Ardhuy
Clos de Vougeot Grand Cru 2009",2009,$349.99,48.0766%;,37.7175%;,2.18425%;,74.7529%;
3,"Mongeard-Mugneret
Richebourg Grand Cru 2003",2003,$799.99,45.7463%;,32.2813%;,18.2764%;,68.979%;
4,"Domaine Rossignol-Trapet
Chambertin Grand Cru 2005",2005,$789,46.129%;,35.2498%;,10.5746%;,66.942%;
5,"Domaine des Lambrays
Morey-Saint-Denis Premier Cru Les Loups 2019",2019,$264.49,46.129%;,35.2498%;,10.5746%;,66.942%;
6,"Domaine Comte Georges de Vogüé
Bonnes-Mares Grand Cru 2008",2008,$963,48.0152%;,37.5729%;,15.5929%;,71.6121%;
7,"Domaine G. Roumier
Chambolle-Musigny 1er Cru 'Les Cras' 2018",2018,$899.95,44.8728%;,34.5473%;,7.98083%;,71.7317%;
8,"Louis Latour
Clos Vougeot Grand Cru 2010",2010,$540,44.8728%;,34.5473%;,7.98083%;,71.7317%;
9,"Domaine Taupenot-Merme
Charmes Chambertin Grand Cru 2017",2017,$525,41.1542%;,34.0402%;,13.2706%;,68.8475%;
10,"Domaine G. Roumier
Chambolle-Musigny 2018",2018,$499.99,43.3892%;,32.5248%;,14.8692%;,69.4782%;
11,"Domaine Comte Georges de Vogüé
Bonnes-Mares Grand Cru 2021",2021,$949,48.0152%;,37.5729%;,15.5929%;,71.6121%;
12,"Domaine des Lambrays
Clos des Lambrays Grand Cru 2012",2012,$788,41.6922%;,33.8166%;,11.0574%;,72.0673%;
13,"Domaine G. Roumier
Morey-Saint-Denis Premier Cru Clos de La Bussière 2018",2018,$788,41.6922%;,33.8166%;,11.0574%;,72.0673%;
14,"Domaine Faiveley
Chambertin Clos de Bèze Grand Cru 2016",2016,$499.97,41.6922%;,33.8166%;,11.0574%;,72.0673%;
15,"Joseph Drouhin
Clos de Vougeot Grand Cru 2018",2018,$424.97,41.6922%;,33.8166%;,11.0574%;,72.0673%;
16,"Hospices de Beaune
Beaune Premier Cru Cuvée Dames Hospitalieres 2018",2018,$197.99,33.4723%;,25.8586%;,6.13894%;,65.1847%;
17,"Henri Rebourseau
Chambertin Grand Cru 2018",2018,$899.99,41.5082%;,40.563%;,6.98237%;,73.5856%;
18,"Château de la Tour
Clos Vougeot Grand Cru 2018",2018,$399.99,47.9935%;,38.402%;,7.4153%;,71.3894%;
19,"Domaine Antonin Guyon
Charmes-Chambertin Grand Cru 2013",2013,$213.33,26.5845%;,24.8927%;,0px;,64.1667%;
20,"Domaine Humbert Frères
Gevrey-Chambertin Premier Cru 'Poissenot' 2018",2018,$212.99,26.5845%;,24.8927%;,0px;,64.1667%;
21,"Kosta Browne
Gevrey-Chambertin Pinot Noir 2020",2020,$169.99,56.6373%;,29.5352%;,0px;,80%;
22,"Château de Pommard
Clos Marey-Monge Monopole 2015",2015,$163.01,41.87%;,25.5959%;,5.15966%;,62.4191%;
23,"Pierre Mayeul
Nuits-Saint-Georges 2017",2017,$113.99,44.7946%;,44.0565%;,0px;,80%;
24,"Manuel Olivier
Clos Vougeot Grand Cru 2020",2020,$491.55,46.521%;,37.8147%;,11.3671%;,81.0804%;
25,"Lucien le Moine
Romanée-Saint-Vivant Grand Cru 2018",2018,$972.90,35.4622%;,32.7175%;,0px;,74.2266%;
26,"Joseph Drouhin
Grands-Echezeaux Grand Cru 2019",2019,$709.53,41.179%;,36.0286%;,14.2548%;,64.5809%;
27,"Domaine Henri Boillot
Volnay 1er Cru Les Caillerets 2018",2018,$201.04,30.9968%;,25.1284%;,1.54627%;,66.3144%;
28,"Domaine Humbert Frères
Gevrey-Chambertin Premier Cru 'Poissenot' 2021",2021,$305.53,43.3417%;,31.5065%;,10.3825%;,69.3197%;
29,"Domaine Humbert Frères
Charmes-Chambertin Grand Cru 2021",2021,$460.82,49.2769%;,36.0952%;,15.6596%;,75.7523%;
