,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Albert Bichot
Morey-Saint-Denis Premier Cru Les Sorbets 2020",2020,$99.99,46.768%;,31.5197%;,6.89399%;,71.5121%;
1,"Domaine Heresztyn-Mazzini
Morey-Saint-Denis Premier Cru 'Les Millandes' 2019",2019,$149.99,44.2323%;,31.0392%;,13.653%;,67.8893%;
2,"Domaine Faiveley
Clos De La Roche Grand Cru 2014",2014,$299.99,51.5443%;,28.5503%;,17.7673%;,74.3025%;
3,"La Pousse d'Or
Pommard 1er Cru 'Les Jarollières' 2018",2018,$99.99,40.2426%;,27.664%;,11.5921%;,60.7221%;
4,"Philippe Leclerc
Gevrey-Chambertin 1er Cru 'Les Cazetiers' 2019",2019,$99.99,47.6773%;,37.9877%;,5.14218%;,73.1681%;
5,"Patrice Rion
Vieilles Vignes Chambolle-Musigny 2020",2020,$79.99,32.9642%;,29.7914%;,6.1605%;,70.025%;
6,"La Pousse d'Or
Santenay 1er Cru 'Clos Tavannes' 2017",2017,$56.99,31.4851%;,24.7495%;,4.57501%;,63.8991%;
7,"Patrice Rion
Vieilles Vignes Chambolle-Musigny 2021",2021,$99.99,32.9642%;,29.7914%;,6.1605%;,70.025%;
8,"Benjamin Leroux
Nuits-Saint-Georges Premier Cru 'Aux Thorey' 2017",2017,$249.99,43.8117%;,29.8217%;,7.8286%;,71.4596%;
9,"Jean-Claude Ramonet
Chassagne-Montrachet Premier Cru 'Boudriotte' Rouge 2005",2005,$249.99,31.704%;,17.6814%;,10.4613%;,65.5961%;
10,"Ardhuy
Corton Clos du Roi Grand Cru 2005",2005,$239.99,43.8644%;,36.0046%;,8.95508%;,62.3099%;
11,"Domaine Jean Grivot
Vosne-Romanée 1985",1985,$379.99,42.0447%;,33.6555%;,10.533%;,69.2679%;
12,"Louis Latour
Corton-Perrières Grand Cru 2010",2010,$199.99,34.8677%;,29.2517%;,3.63784%;,58.4029%;
13,"Domaine Forey Père & Fils
Vosne-Romanée 2015",2015,$149.99,40.8731%;,37.0038%;,7.50337%;,71.1254%;
