,name,year,price,bodyPercent,Tanning,Sugar,Acidic
45,"Domaine Bertagna
Clos de Vougeot Grand Cru 2013",2013,$200,47.097%;,43.1358%;,5.49098%;,69.389%;
46,"Albert Bichot
Château Gris Nuits-Saint-Georges Premier Cru Monopole 2020",2020,$139.99,36.9053%;,35.8636%;,5.20828%;,71.3457%;
47,"Domaine de Bellène
Vosne-Romanée 'Les Quartiers de Nuits' 2019",2019,$197.99,43.46%;,34.412%;,6.97035%;,72.0537%;
48,"Domaine Antonin Guyon
Volnay 1er Cru 'Clos des Chénes' 2017",2017,$90.67,36.9859%;,25.035%;,6.68898%;,65.1315%;
49,"Domaine Humbert Frères
Gevrey-Chambertin Premier Cru 'Estournelles St Jacques' 2018",2018,$249.99,35.108%;,47.8884%;,2.43571%;,69.7687%;
50,"Domaine Antonin Guyon
Corton Grand Cru 'Clos du Roy' 2020",2020,$200,35.6519%;,24.3469%;,9.6908%;,65.8979%;
51,"Henri Rebourseau
Gevrey-Chambertin 2018",2018,$125.99,44.9357%;,36.9148%;,4.58814%;,72.8693%;
52,"Domaine Humbert Frères
Gevrey-Chambertin Premier Cru 'Lavaux Saint-Jacques' 2018",2018,$245.99,43.3778%;,25.4284%;,0.014045%;,63.6517%;
53,"Domaine Humbert Frères
Gevrey-Chambertin Premier Cru 'Lavaux Saint-Jacques' 2019",2019,$258.99,43.3778%;,25.4284%;,0.014045%;,63.6517%;
54,"Clos Frantin
Clos de Vougeot Grand Cru 2020",2020,$457.99,38.6918%;,30.8782%;,7.48188%;,73.3305%;
55,"Domaine Antonin Guyon
Corton Grand Cru 'Clos du Roy' 2018",2018,$200,35.6519%;,24.3469%;,9.6908%;,65.8979%;
56,"Domaine Antonin Guyon
Charmes-Chambertin Grand Cru 2017",2017,$249.67,26.5845%;,24.8927%;,0px;,64.1667%;
57,"Domaine de Montille
Corton Grand Cru Clos Du Roi 2020",2020,$678.33,32.4158%;,23.3194%;,3.66028%;,64.7933%;
58,"Domaine Humbert Frères
Vieilles Vignes Gevrey-Chambertin 2020",2020,$99.99,44.4728%;,34.4093%;,7.19868%;,64.3355%;
59,"Domaine Bertagna
Clos Saint Denis Grand Cru 2017",2017,$240,48.125%;,30.8276%;,18.0636%;,70.6905%;
60,"Château de La Maltroye
Chassagne-Montrachet 1er Cru 'Clos du Chateau' (Monopole) 2020",2020,$99.49,48.125%;,30.8276%;,18.0636%;,70.6905%;
61,"Domaine de Montille
Beaune 1er Cru Les Sizies 2019",2019,$99,30.5181%;,24.1719%;,3.2339%;,63.5439%;
62,"Louis Latour
Domaine Latour Aloxe-Corton 2018",2018,$99.17,31.0179%;,23.1844%;,8.1257%;,60.2383%;
63,"Les Parcellaires de Saulx
Vosne-Romanée 2020",2020,$178.50,58.7771%;,48.2831%;,9.02409%;,76.0903%;
64,"Jean-Claude Boisset
Pommard 1er Cru 'Les Arvelets' 2021",2021,$155.99,32.6062%;,19.2887%;,0.686695%;,63.1041%;
65,"Domaine Antonin Guyon
Charmes-Chambertin Grand Cru 2016",2016,$240,26.5845%;,24.8927%;,0px;,64.1667%;
66,"Parent
Les Argillières Pommard Premier Cru 2018",2018,$145.99,36.0623%;,23.1885%;,0px;,61.5089%;
67,"Domaine Armand Heitz
Beaune 1er Cru 'Les Boucherottes' 2021",2021,$100,20.5854%;,20.2805%;,0px;,57.1585%;
68,"Domaine Dominique Gallois
Charmes-Chambertin Grand Cru 2017",2017,$265.99,50.2227%;,36.4521%;,21.1407%;,75.517%;
69,"Domaine Antonin Guyon
Corton Grand Cru 'Clos du Roy' 2021",2021,$200,35.6519%;,24.3469%;,9.6908%;,65.8979%;
70,"Domaine Jacques Prieur
Meursault Clos De Mazeray Rouge 2018",2018,$104.99,33.4223%;,21.1123%;,14.9626%;,64.5953%;
71,"Domaine Pierre Gelin
Gevrey-Chambertin 1er Cru 'Clos Prieur' 2020",2020,$179.99,40.2608%;,36.3238%;,0.514617%;,76.7277%;
72,"Albert Bichot
Clos de la Perrière Monopole Fixin 1er Cru 2019",2019,$129.99,38.3737%;,28.1017%;,13.021%;,67.5496%;
73,"Lucien le Moine
Les Cazetiers Gevrey-Chambertin 1er Cru 2019",2019,$269.99,44.0415%;,33.2939%;,9.45213%;,72.8397%;
74,"Lucien le Moine
Pommard 1er Cru 'Les Grands Epenots' 2020",2020,$192.99,41.6383%;,29.4575%;,17.0426%;,67.4149%;
75,"Pierre Damoy
Gevrey Chambertin 2017",2017,$299.99,48.9704%;,38.5846%;,8.28783%;,72.436%;
76,"Château de La Maltroye
Chassagne-Montrachet 1er Cru 'Clos du Chateau' (Monopole) 2019",2019,$99.99,34.1049%;,26.6728%;,3.1624%;,66.3803%;
77,"Domaine Potinet-Ampeau
Pommard 1er Cru 'Les Pézerolles' 2017",2017,$91,31.8072%;,25.7208%;,0.638455%;,58.4484%;
78,"Albert Bichot
Clos de la Perrière Monopole Fixin 1er Cru 2020",2020,$119.99,38.3737%;,28.1017%;,13.021%;,67.5496%;
79,"Jean-Claude Boisset
Corton Grand Cru 'Les Renardes' 2020",2020,$253.99,48.3333%;,15.9722%;,0px;,59.4444%;
80,"Louis Latour
Château Corton Grancey Grand Cru 2016",2016,$249.99,35.0643%;,24.4516%;,8.11186%;,63.3243%;
81,"Louis Latour
Château Corton Grancey Grand Cru 2020",2020,$199.99,35.0643%;,24.4516%;,8.11186%;,63.3243%;
82,"Capuano-Ferreri
Santenay 1er Cru 'La Comme' Rouge 2019",2019,$56,28.2568%;,21.9718%;,9.29949%;,68.3899%;
83,"Pierre Labet - François Labet
Beaune 'Clos du Dessus des Marconnets' Rouge 2016",2016,$99.99,33.015%;,23.5417%;,8.09602%;,66.6129%;
84,"Domaine Bertagna
Clos Saint Denis Grand Cru 2011",2011,$238.67,48.125%;,30.8276%;,18.0636%;,70.6905%;
85,"Jean-Luc & Eric Burguet
Gevrey-Chambertin 1er Cru 'Les Champeaux' 2019",2019,$226.99,41.1545%;,29.8127%;,11.1611%;,70.1837%;
86,"Domaine Antonin Guyon
Chambolle-Musigny 'Les Cras' 2018",2018,$90.67,39.8996%;,32.892%;,4.25604%;,70.9291%;
87,"Gille
Corton Les Renardes Grand Cru 2020",2020,$400,43.7053%;,28.4126%;,12.2825%;,69.7886%;
88,"Domaine Antonin Guyon
Corton Grand Cru 'Clos du Roy' 2011",2011,$200,35.6519%;,24.3469%;,9.6908%;,65.8979%;
89,"Domaine Bertagna
Clos de Vougeot Grand Cru 2011",2011,$185.67,47.097%;,43.1358%;,5.49098%;,69.389%;
90,"Domaine Antonin Guyon
Corton-Bressandes Grand Cru 2021",2021,$199.99,34.3308%;,22.8594%;,3.00536%;,64.9764%;
91,"Albert Bichot
Gevrey-Chambertin Les Evocelles 2020",2020,$119.99,41.3309%;,36.7096%;,5.65899%;,78.8343%;
92,"Clos Frantin
Les Malconsorts Vosne-Romanée Premier Cru 2020",2020,$825.99,44.3067%;,35.6109%;,4.18059%;,71.8689%;
93,"Domaine de la Vougeraie
Beaune La Montée Rouge 2020",2020,$79.99,31.8381%;,19.4737%;,14.7278%;,60.1451%;
94,"Domaine de Montille
Beaune 1er Cru Les Sizies 2020",2020,$248.33,30.5181%;,24.1719%;,3.2339%;,63.5439%;
95,"Domaine Bertagna
Clos de Vougeot Grand Cru 2017",2017,$250.67,47.097%;,43.1358%;,5.49098%;,69.389%;
96,"Clos Frantin
Echezeaux Grand Cru 2020",2020,$425.99,42.3397%;,36.811%;,4.84794%;,73.7407%;
97,"Amiot Guy
Vieilles Vignes Chassagne-Montrachet Rouge 2019",2019,$66.33,34.6018%;,21.5058%;,0px;,61.3143%;
98,"Domaine de Montille
Pommard 1er Cru Les Rugiens-Bas 2020",2020,$311.17,33.8717%;,24.0983%;,10.6422%;,62.5508%;
99,"Domaine Bertagna
Clos de Vougeot Grand Cru 2014",2014,$228.83,47.097%;,43.1358%;,5.49098%;,69.389%;
100,"Domaine Chanson
Pernand-Vergelesses Premier Cru Vergelesses 2019",2019,$79.99,36.1018%;,27.446%;,8.45715%;,65.9421%;
101,"Domaine Faiveley
Charmes-Chambertin Grand Cru 2021",2021,$497,51.7312%;,39.8058%;,20.8959%;,70.439%;
