,name,year,price,bodyPercent,Tanning,Sugar,Acidic
43,"Domaine des Perdrix
Nuits-Saint-Georges Aux Perdrix Premier Cru 2020",2020,$188.99,45.0036%;,34.5259%;,9.41829%;,70.7903%;
44,"Joseph Colin
Chassagne-Montrachet Rouge 2019",2019,$54.05,32.7879%;,20.5156%;,0px;,72.8304%;
45,"Domaine Georges Mugneret-Gibourg
Chambolle-Musigny 1er Cru 'Les Feusselottes' 2017",2017,$879.99,37.4595%;,29.9641%;,13.253%;,68.2934%;
46,"Domaine Faiveley
Echezeaux Grand Cru 2010",2010,$449.99,41.1662%;,37.5644%;,9.33377%;,69.8537%;
47,"Francois Gay et Fils
Corton Renardes Grand Cru 2010",2010,$199.99,33.4309%;,23.6218%;,3.43455%;,63.1173%;
48,"Louis Jadot
Mazis-Chambertin Grand Cru 2010",2010,$389.99,38.2059%;,39.6424%;,6.14651%;,70.1496%;
49,"Domaine Marquis d'Angerville
Volnay 1er Cru 'Taillepieds' 2002",2002,$389.99,37.4538%;,30.6433%;,4.63808%;,67.1273%;
50,"Domaine Faiveley
Echezeaux Grand Cru 1991",1991,$489.99,41.1662%;,37.5644%;,9.33377%;,69.8537%;
51,"Louis Jadot
Gevrey-Chambertin Premier Cru Petite Chapelle 2016",2016,$189.99,38.4211%;,33.0667%;,7.44778%;,70.4681%;
52,"La Pousse d'Or
Volnay 1er Cru 'Clos d'Audignac' (Monopole) 2018",2018,$99.99,33.3983%;,22.938%;,8.36882%;,59.3805%;
53,"Bouchard Père & Fils
Chapelle-Chambertin Grand Cru 2010",2010,$479.99,42.5877%;,35.3423%;,5.58462%;,77.7465%;
54,"Clos Frantin
Grands-Échézeaux Grand Cru 2002",2002,$479.99,43.6504%;,37.2264%;,12.6213%;,72.7128%;
55,"Louis Jadot
Latricières-Chambertin Grand Cru 2010",2010,$479.99,43.3712%;,38.548%;,10.6225%;,76.2815%;
56,"Louis Jadot
Latricières-Chambertin Grand Cru 2005",2005,$479.99,43.3712%;,38.548%;,10.6225%;,76.2815%;
57,"Domaine Ponsot
Griotte-Chambertin Grand Cru 2002",2002,$699.99,47.0811%;,35.5073%;,22.299%;,67.7427%;
58,"Domaine Perrot-Minot
Cuvée Ultra Vieilles Vignes Chambolle-Musigny Premier Cru 'La Combe d'Orveau' 2014",2014,$579.99,47.2245%;,33.2704%;,9.9898%;,68.2653%;
59,"Louis Jadot
Clos Saint-Denis Grand Cru 2011",2011,$289.99,40.5103%;,37.2882%;,8.8063%;,73.5201%;
60,"Georges Lignier et Fils
Clos de la Roche Grand Cru 2016",2016,$649.99,43.0378%;,35.2037%;,5.1187%;,75.2772%;
61,"Domaine des Terres de Velle
Volnay Premier Cru 'Le Ronceret' 2021",2021,$79.99,38.9957%;,15.7866%;,0px;,68.9429%;
62,"Bouchard Père & Fils
Chapelle-Chambertin Grand Cru 2005",2005,$589.99,42.5877%;,35.3423%;,5.58462%;,77.7465%;
63,"Aurélien Verdet
Nuits-Saint-Georges 1er Cru 'Aux Boudots' 2018",2018,$249.99,37.5022%;,32.6668%;,6.24155%;,78.7184%;
64,"Domaine Nicolas Rossignol
Volnay 1er Cru 'Clos des Angles' 2010",2010,$179.99,35.552%;,24.2821%;,7.43466%;,60.2552%;
65,"Domaine Antonin Guyon
Corton Grand Cru 'Clos du Roy' 2001",2001,$239.99,35.6519%;,24.3469%;,9.6908%;,65.8979%;
66,"Jayer Gilles
Échezeaux du Dessus Grand Cru 2008",2008,$449.99,48.959%;,36.6376%;,20.2253%;,70.3001%;
67,"Albert Bichot
Clos de la Roche Grand Cru 2015",2015,$589.99,55.1394%;,30.4968%;,1.20353%;,77.4343%;
