,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Domaine Dominique Gallois
Charmes-Chambertin Grand Cru 2020",2020,$378.11,50.2227%;,36.4521%;,21.1407%;,75.517%;
1,"Domaine de Montille
Pommard 1er Cru 'Les Pézerolles' 2020",2020,$238.99,34.1631%;,30.5689%;,4.37172%;,63.5415%;
2,"Domaine des Croix
Corton Les Grèves Grand Cru 2021",2021,$289,35.9315%;,25.1003%;,9.92962%;,62.5898%;
3,"Comte Armand
Volnay 1er Cru 'Fremiets' 2021",2021,$241.38,33.0824%;,31.7528%;,0.245073%;,66.9472%;
4,"Domaine Faiveley
Nuits-Saint-Georges 'Les Montroziers' 2022",2022,$119,48.1115%;,30.1154%;,0px;,74.7269%;
5,"Domaine G. Roumier
Morey-Saint-Denis Premier Cru Clos de La Bussière 2021",2021,$530,45.0467%;,38.2898%;,12.5564%;,67.6223%;
6,"Simon Bize & Fils
Latricières-Chambertin Grand Cru 2018",2018,$527,39.6842%;,25.7439%;,4.11692%;,58.2546%;
7,"Domaine François Gaunoux
Pommard 1er Cru 'Les Epenots' 2019",2019,$79.94,33.3709%;,27.9357%;,8.84726%;,63.4355%;
8,"Lucien le Moine
Lavaut Saint-Jacques Gevrey-Chambertin Premier Cru 2020",2020,$224.94,45.5833%;,35.9778%;,3.56871%;,74.819%;
9,"Louis Jadot
Chapelle-Chambertin Grand Cru 2004",2004,$234.94,43.0501%;,36.843%;,8.7025%;,74.2735%;
10,"Michel Noëllat
Morey-Saint-Denis 2020",2020,$79.94,39.4033%;,33.632%;,5.55712%;,66.7359%;
11,"Michel Noëllat
Les Suchots Vosne-Romanée 1er Cru 2020",2020,$179.94,44.7888%;,34.2677%;,9.64274%;,69.0542%;
12,"Domaine Faiveley
Nuits-Saint-Georges 'Les Montroziers' 2021",2021,$79.94,48.1115%;,30.1154%;,0px;,74.7269%;
13,"A.F. Gros
Pommard Premier Cru 'Les Chanlins' 2017",2017,$99.94,33.2309%;,34.1768%;,15.4642%;,63.7444%;
14,"Lucien le Moine
Nuits-Saint-Georges Premier Cru Les Cailles 2018",2018,$139.94,41.3309%;,46.5353%;,3.15%;,66.9944%;
15,"Domaine de la Vougeraie
Savigny-lès-Beaune Premier Cru Les Marconnets 2017",2017,$59.94,34.9383%;,25.458%;,9.55168%;,61.7897%;
16,"Monthelie Douhairet Porcheret
Pommard 1er Cru 'Les Chanlins' 2021",2021,$119.94,32.1993%;,24.2993%;,2.2194%;,68.209%;
17,"Pierre Damoy
Chapelle-Chambertin Grand Cru 2018",2018,$795,43.3016%;,34.0702%;,12.4879%;,71.4874%;
18,"Louis Latour
Aloxe-Corton 1er Cru 'Les Chaillots' 2006",2006,$69.94,36.0521%;,27.8145%;,4.1931%;,62.466%;
19,"Michel Magnien
Morey-Saint-Denis Premier Cru Climats d'Or 2017",2017,$69.94,43.2237%;,34.6815%;,0px;,75.0729%;
20,"Domaine Edmond Cornu & Fils
Corton-Bressandes Grand Cru 2020",2020,$139.94,36.4298%;,20.5999%;,10.8612%;,63.4114%;
21,"Domaine Bruno Clavelier
Vieilles Vignes Corton Le Rognet Grand Cru 2017",2017,$209.94,37.927%;,23.4641%;,3.60461%;,60.14%;
22,"Pierre Damoy
Chambertin Clos de Bèze Grand Cru 2018",2018,$995,44.3621%;,31.8062%;,10.7485%;,68.4892%;
23,"Dugat-Py
Vieilles Vignes Gevrey-Chambertin 1er Cru 'Petite Chapelle' 2014",2014,$325,42.1833%;,35.8698%;,11.7218%;,70.675%;
24,"Dominique Lafon
Beaune 1er Cru 'Les Grèves' 2017",2017,$84.94,37.7009%;,21.5684%;,0px;,64.2521%;
25,"Domaine Pierre Gelin
Gevrey-Chambertin 1er Cru 'Clos Prieur' 2018",2018,$119.94,40.2608%;,36.3238%;,0.514617%;,76.7277%;
26,"Louis Latour
Nuits-Saint-Georges 2013",2013,$69.94,36.2936%;,30.6864%;,0px;,75.8839%;
27,"Louis Latour
Echézeaux Grand Cru 2013",2013,$345,40.8207%;,37.1785%;,1.16834%;,68.9973%;
28,"Pierre Damoy
Chambertin Grand Cru 2018",2018,$995,51.1157%;,38.9528%;,19.732%;,72.3081%;
29,"Domaine Nicolas Rossignol
Volnay 1er Cru 'Santenots' 2015",2015,$149.94,34.3017%;,29.2569%;,6.26742%;,65.0366%;
30,"Georges Lignier et Fils
Bonnes-Mares Grand Cru 2017",2017,$274.94,38.8227%;,33.81%;,9.88832%;,71.8186%;
31,"Domaine Edmond Cornu & Fils
Corton-Bressandes Grand Cru 2018",2018,$129.94,36.4298%;,20.5999%;,10.8612%;,63.4114%;
32,"Domaine Gros Frère et Soeur
Clos de Vougeot Grand Cru 2021",2021,$239.94,44.2939%;,34.2122%;,7.92795%;,70.6883%;
33,"Lucien le Moine
Volnay Premier Cru Les Caillerets 2019",2019,$139.94,33.8986%;,28.0437%;,4.2769%;,67.3523%;
