,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Domaine Humbert Frères
Gevrey-Chambertin Premier Cru 'Lavaux Saint-Jacques' 2021",2021,$300.46,43.3778%;,25.4284%;,0.014045%;,63.6517%;
1,"Domaine Humbert Frères
Gevrey-Chambertin Premier Cru 'Lavaux Saint-Jacques' 2020",2020,$265.02,43.3778%;,25.4284%;,0.014045%;,63.6517%;
2,"Domaine Dominique Gallois
Charmes-Chambertin Grand Cru 2019",2019,$303.84,50.2227%;,36.4521%;,21.1407%;,75.517%;
3,"Domaine Dominique Gallois
Charmes-Chambertin Grand Cru 2018",2018,$303.84,50.2227%;,36.4521%;,21.1407%;,75.517%;
4,"Olivier Bernstein
Clos Vougeot Grand Cru 2017",2017,$726.46,47.977%;,41.6892%;,10.9686%;,72.5205%;
5,"Parent
Corton Grand Cru Les Renardes 2020",2020,$288.65,36.3878%;,21.492%;,0px;,65.467%;
6,"Domaine Dominique Gallois
Gevrey-Chambertin Premier Cru 'La Combe Aux Moines' 2018",2018,$155.30,47.6654%;,39.987%;,10.1352%;,71.8564%;
7,"Château de La Maltroye
Chassagne-Montrachet 1er Cru 'Clos Saint Jean' 2019",2019,$75.96,26.7811%;,22.894%;,4.8245%;,66.6974%;
8,"Parent
Les Epenots Pommard Premier Cru 2020",2020,$219.44,30.5104%;,24.669%;,0.44695%;,62.518%;
