,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Brotte
Châteauneuf-du-Pape Domaine Barville Rouge 2019",2019,$39.89,85%;,38.9886%;,4.92365%;,44.3495%;
1,"Franck Balthazar
Cornas 'Chaillot' 2020",2020,$162.74,84.7431%;,51.7994%;,7.52431%;,55.6347%;
2,"Franck Balthazar
Cornas Cuvée Casimir Balthazar 2020",2020,$109.19,85%;,52.4563%;,6.01294%;,53.479%;
3,"Piaugier
Gigondas 2019",2019,$45.14,63.5973%;,50.7662%;,7.19238%;,55.0954%;
4,"Alain Jaume
Domaine Grand Veneur Châteauneuf-du-Pape 'Le Miocène' 2021",2021,$49.34,81.9451%;,42.5114%;,9.01717%;,45.0232%;
