,name,year,price,bodyPercent,Tanning,Sugar,Acidic
45,"Olivier Leflaive
Volnay 1er Cru Clos Des Angles 2022",2022,$135.04,29.9263%;,26.7031%;,7.01752%;,65.8803%;
46,"Sarl Les Pinots Blacks
Vallée de Coigny Irancy 2022",2022,$67.52,23.5357%;,20.5078%;,16.2298%;,69.0217%;
47,"Les Parcellaires de Saulx
Chambolle-Musigny 2020",2020,$153,35.5021%;,30.3518%;,0px;,73.0771%;
48,"Domaine de la Ferté
Givry 2020",2020,$64.13,20.7937%;,20.5097%;,8.22727%;,58.8453%;
49,"Château de Chamirey
Mercurey 1er Cru 'Clos du Roi' 2020",2020,$88.33,21.7914%;,22.9684%;,2.52337%;,63.4119%;
50,"Arnaud Mortet
Ma Cuvée Gevrey-Chambertin 2021",2021,$180.06,50.8857%;,40.1818%;,12.9492%;,69.2881%;
51,"Lignier-Michelot
Vieilles Vignes Chambolle-Musigny 2021",2021,$126.60,41.2361%;,31.6445%;,16.3162%;,67.0512%;
52,"Olivier Leflaive
Volnay 1er Cru Clos Des Angles 2021",2021,$126.60,29.9263%;,26.7031%;,7.01752%;,65.8803%;
53,"Domaine Tollot-Beaut
Beaune-Clos-du-Roi Premier Cru 2021",2021,$136.15,34.2688%;,24.5836%;,8.4147%;,64.3457%;
54,"Domaine de Montille
Volnay 1er Cru 'Les Mitans' 2021",2021,$260.55,30.9884%;,23.1736%;,8.09644%;,63.0849%;
55,"Benjamin Leroux
Beaune 1er Cru 'Les Cent Vignes' 2017",2017,$144.50,34.4286%;,23.5648%;,0.539683%;,63.0714%;
56,"Domaine de Montille
Volnay 1er Cru 'Champans' 2020",2020,$246.03,32.8902%;,31.2797%;,6.04558%;,61.4681%;
57,"Michel Sarrazin
Givry 1er Cru 'Les Bois Gauthiers' 2022",2022,$50.64,35.6433%;,25.0172%;,7.42562%;,63.272%;
58,"Parent
Pommard Premier Cru de 'Les Chaponnières' 2021",2021,$258.26,37.5768%;,29.5889%;,4.15526%;,67.8819%;
59,"Olivier Leflaive
Volnay 1er Cru Clos Des Angles 2018",2018,$107.48,29.9263%;,26.7031%;,7.01752%;,65.8803%;
60,"Parent
Pommard Premier Cru de 'Les Chaponnières' 2018",2018,$156.98,37.5768%;,29.5889%;,4.15526%;,67.8819%;
61,"Parent
Pommard Premier Cru de 'Les Chaponnières' 2017",2017,$143.48,37.5768%;,29.5889%;,4.15526%;,67.8819%;
62,"Parent
Pommard Premier Cru de 'Les Chaponnières' 2019",2019,$160.36,37.5768%;,29.5889%;,4.15526%;,67.8819%;
63,"Olivier Leflaive
Santenay 2020",2020,$64.14,33.448%;,25.4437%;,5.48162%;,60.6824%;
64,"Olivier Leflaive
Santenay 1er Cru 'Passetemps' 2018",2018,$63.86,30.7937%;,14.9206%;,0px;,47.5794%;
65,"Joseph Drouhin
Vosne-Romanée Premier Cru 2021",2021,$338.71,46.5027%;,26.1396%;,7.62027%;,63.1108%;
