,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Hudelot-Baillet
Bonnes Mares Grand Cru 2020",2020,$535.50,38.4798%;,31.4524%;,12.5699%;,75.201%;
1,"Francois et Antoine Jobard
Beaune Premier Cru 'Les Montrevenots' 2020",2020,$142.91,38.428%;,22.4576%;,0px;,67.5%;
2,"Parent
Corton Grand Cru Les Renardes 2021",2021,$420.31,36.3878%;,21.492%;,0px;,65.467%;
3,"Domaine Génot-Boulanger
Clos de Vougeot Grand Cru 2021",2021,$459,47.0786%;,36.9139%;,0px;,68.5055%;
4,"Domaine Humbert Frères
Vieilles Vignes Gevrey-Chambertin 2021",2021,$118.16,44.4728%;,34.4093%;,7.19868%;,64.3355%;
5,"Domaine G. Roumier
Morey-Saint-Denis Premier Cru Clos de La Bussière 2020",2020,$549.99,45.0467%;,38.2898%;,12.5564%;,67.6223%;
6,"Francois et Antoine Jobard
Beaune Premier Cru 'Les Montrevenots' 2020",2020,$142.91,38.428%;,22.4576%;,0px;,67.5%;
7,"Jean-Luc & Eric Burguet
Gevrey-Chambertin 1er Cru 'Les Champeaux' 2021",2021,$268.39,41.1545%;,29.8127%;,11.1611%;,70.1837%;
8,"Domaine Jacques Prieur
Pommard-Charmots Premier Cru 2020",2020,$233.23,38.4559%;,24.25%;,0px;,67.5%;
9,"Parent
Les Argillières Pommard Premier Cru 2019",2019,$133.35,36.0623%;,23.1885%;,0px;,61.5089%;
10,"Parent
Les Epenots Pommard Premier Cru 2018",2018,$163.74,30.5104%;,24.669%;,0.44695%;,62.518%;
11,"Domaine Jacques Prieur
Pommard-Charmots Premier Cru 2019",2019,$233.23,38.4559%;,24.25%;,0px;,67.5%;
12,"David Trousselle
Santenay 2022",2022,$50.64,22.6582%;,28.6758%;,0px;,64.9473%;
13,"Parent
Corton Grand Cru Les Renardes 2019",2019,$234.63,36.3878%;,21.492%;,0px;,65.467%;
14,"Domaine Marc Roy
Clos Prieur Gevrey-Chambertin 2022",2022,$180.06,49.2297%;,34.7632%;,10.0479%;,67.4366%;
15,"Domaine des Perdrix
Vosne-Romanée 2020",2020,$162.61,45.946%;,40.9827%;,8.43124%;,68.6254%;
16,"Comte Armand
Pommard 1er Cru 'Clos des Epeneaux' Monopole 2021",2021,$357.86,37.862%;,29.8945%;,9.81167%;,64.4259%;
17,"Domaine Génot-Boulanger
Clos de Vougeot Grand Cru 2020",2020,$331.50,47.0786%;,36.9139%;,0px;,68.5055%;
18,"Domaine Denis Mortet
Gevrey-Chambertin 1er Cru 2019",2019,$303.84,42.8364%;,30.8775%;,13.9756%;,70.5884%;
19,"Domaine Nicole Lamarche (François Lamarche)
Échézeaux Grand Cru 2021",2021,$376.42,49.0988%;,34.5001%;,2.7238%;,73.3187%;
20,"Domaine Nicole Lamarche (François Lamarche)
Clos de Vougeot Grand Cru 2021",2021,$376.42,47.3561%;,38.0515%;,15.2743%;,72.8425%;
21,"Domaine de Montille
Pommard 1er Cru 'Les Pézerolles' 2021",2021,$253.07,34.1631%;,30.5689%;,4.37172%;,63.5415%;
22,"Domaine Georges Mugneret-Gibourg
Vosne-Romanée 2021",2021,$229.50,39.83%;,31.717%;,14.0881%;,69.5717%;
23,"Hudelot-Baillet
Bonnes Mares Grand Cru 2021",2021,$620.50,38.4798%;,31.4524%;,12.5699%;,75.201%;
24,"Parent
Les Epenots Pommard Premier Cru 2021",2021,$313.97,30.5104%;,24.669%;,0.44695%;,62.518%;
25,"Domaine de Montille
Pommard 1er Cru Les Rugiens-Bas 2021",2021,$337.31,33.8717%;,24.0983%;,10.6422%;,62.5508%;
