,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Pierre Damoy
Chambertin Grand Cru 2013",2013,$600,51.1157%;,38.9528%;,19.732%;,72.3081%;
1,"Domaine du Clos de Tart
Clos de Tart Grand Cru Monopole 2018",2018,$699.99,44.9303%;,35.2956%;,12.4378%;,71.4887%;
2,"Domaine Denis Mortet
Gevrey-Chambertin 1er Cru Lavaux St-Jacques 2018",2018,$472.64,43.0503%;,32.7448%;,16.7215%;,70.4233%;
3,"Domaine Bruno Clair
Chambertin Clos de Bèze Grand Cru 2013",2013,$412.95,43.6307%;,35.9434%;,11.7633%;,68.6058%;
4,"Domaine Marquis d'Angerville
Volnay 1er Cru 'Clos des Ducs' Monopole 2019",2019,$470.82,36.3525%;,27.4942%;,12.002%;,64.3239%;
5,"Domaine Bruno Clair
Bonnes Mares Grand Cru 2018",2018,$560.50,46.6206%;,37.5919%;,9.97328%;,70.6532%;
6,"Domaine Nicole Lamarche (François Lamarche)
La Grande Rue Grand Cru Monopole 2018",2018,$943.95,44.8509%;,34.7995%;,14.3709%;,76.1633%;
7,"Louis Jadot
Clos Saint-Denis Grand Cru 2007",2007,$330.35,40.5103%;,37.2882%;,8.8063%;,73.5201%;
8,"Domaine Dujac
Gevrey Chambertin 1er Cru 'Aux Combottes' 2018",2018,$943.95,43.9636%;,37.8254%;,12.0592%;,72.3096%;
9,"Domaine du Clos de Tart
Clos de Tart Grand Cru Monopole 2017",2017,$699.99,44.9303%;,35.2956%;,12.4378%;,71.4887%;
10,"Domaine du Clos de Tart
Clos de Tart Grand Cru Monopole 2016",2016,$599.99,44.9303%;,35.2956%;,12.4378%;,71.4887%;
11,"Georges Lignier et Fils
Bonnes-Mares Grand Cru 2014",2014,$789.99,38.8227%;,33.81%;,9.88832%;,71.8186%;
12,"Domaine du Clos de Tart
Clos de Tart Grand Cru Monopole 1990",1990,$979.99,44.9303%;,35.2956%;,12.4378%;,71.4887%;
13,"Domaine Bruno Clair
Chambertin Clos de Bèze Grand Cru 2017",2017,$479.99,43.6307%;,35.9434%;,11.7633%;,68.6058%;
14,"Hubert Lignier
Clos de la Roche Grand Cru 2017",2017,$921,43.6307%;,35.9434%;,11.7633%;,68.6058%;
15,"Domaine Taupenot-Merme
Mazoyères Chambertin Grand Cru 2017",2017,$487,40.7118%;,33.3442%;,17.2302%;,70.8%;
16,"Albert Bichot
Charmes-Chambertin Grand Cru 2015",2015,$393.99,41.0676%;,28.6667%;,3.32883%;,66.3739%;
17,"Benjamin Leroux
Pommard Premier Cru 'Rugiens Hauts' 2018",2018,$238,41.56%;,15.4655%;,0px;,61.4473%;
18,"Domaine Denis Mortet
Clos de Vougeot Grand Cru 2019",2019,$877.76,45.2051%;,32.6512%;,13.9069%;,69.8679%;
19,"Domaine Denis Mortet
Clos de Vougeot Grand Cru 2021",2021,$979.04,45.2051%;,32.6512%;,13.9069%;,69.8679%;
20,"Jacques-Frederic Mugnier
Chambolle-Musigny 2019",2019,$649.99,36.386%;,28.9188%;,14.0425%;,68.1009%;
21,"Domaine Denis Mortet
Les Champonnets Gevrey-Chambertin 1er Cru 2019",2019,$303.84,38.7606%;,36.5141%;,28.331%;,59.1338%;
22,"Domaine Denis Mortet
Clos de Vougeot Grand Cru 2018",2018,$835.56,45.2051%;,32.6512%;,13.9069%;,69.8679%;
23,"Domaine Gros Frère et Soeur
Richebourg Grand Cru 2021",2021,$695,44.8402%;,35.4519%;,18.8803%;,72.2401%;
24,"Domaine Latour-Giraud
Pommard-Refène 1er Cru 2018",2018,$84.94,32.7962%;,21.7594%;,0.954712%;,67.1764%;
25,"Louis Jadot
Chapelle-Chambertin Grand Cru 2006",2006,$269.94,32.7962%;,21.7594%;,0.954712%;,67.1764%;
26,"Labruyère-Prieur Sélection
Charmes-Chambertin Grand Cru 2015",2015,$294.94,35%;,26.25%;,0px;,85%;
27,"Domaine Coche-Dury
Volnay Premier Cru 2020",2020,$942.82,30.0096%;,26.1292%;,10.4144%;,65.0959%;
28,"Château de la Tour
Clos Vougeot Grand Cru 2016",2016,$271.35,47.9935%;,38.402%;,7.4153%;,71.3894%;
29,"Dugat-Py
Vieilles Vignes Charmes-Chambertin Grand Cru 2019",2019,$766.95,56.5816%;,43.2526%;,21.6447%;,78.0132%;
30,"Jean Tardy & Fils
Vieilles Vignes Échézeaux Grand Cru 'Les Treux' 2017",2017,$412.95,48.3028%;,32.5756%;,13.3643%;,78.1352%;
31,"Méo-Camuzet
Echezeaux Grand Cru 'Les Rouges du Bas' 2020",2020,$766.95,47.8654%;,33.517%;,13.4254%;,68.791%;
32,"Comte Armand
Pommard 1er Cru 'Clos des Epeneaux' Monopole 2018",2018,$230.10,37.862%;,29.8945%;,9.81167%;,64.4259%;
33,"Camille Giroud
Vosne-Romanée 1er Cru 'Les Suchots' 2017",2017,$224.15,37.0087%;,29.6609%;,0px;,74.463%;
34,"Domaine Marquis d'Angerville
Volnay Champans 1er Cru 2019",2019,$293.82,37.2043%;,28.4641%;,11.8755%;,64.2395%;
35,"Domaine G. Roumier
Morey-Saint-Denis Premier Cru Clos de La Bussière 2019",2019,$530.95,45.0467%;,38.2898%;,12.5564%;,67.6223%;
36,"Domaine Coche-Dury
Volnay Premier Cru 2018",2018,$942.82,30.0096%;,26.1292%;,10.4144%;,65.0959%;
37,"Domaine Bruno Clair
Vosne-Romanée 'Les Champs Perdrix' 2019",2019,$164.02,43.0422%;,33.5992%;,9.85681%;,73.9833%;
38,"Château de la Tour
Clos Vougeot Grand Cru 2017",2017,$270.22,47.9935%;,38.402%;,7.4153%;,71.3894%;
39,"Domaine Nicole Lamarche (François Lamarche)
Échézeaux Grand Cru 2020",2020,$294.95,49.0988%;,34.5001%;,2.7238%;,73.3187%;
40,"Méo-Camuzet
Vosne-Romanée 1er Cru 'Aux Brulées' 2018",2018,$943.95,42.3558%;,34.2019%;,18.3216%;,70.9224%;
41,"Domaine des Lambrays
Clos des Lambrays Grand Cru 2017",2017,$353.95,41.6922%;,33.8166%;,11.0574%;,72.0673%;
42,"Robert Groffier
Bonnes-Mares Grand Cru 2019",2019,$885,43.8592%;,32.0094%;,20.94%;,68.9522%;
43,"Remoissenet Père & Fils
Charmes-Chambertin Grand Cru 2015",2015,$599.95,43.7522%;,29.8619%;,5.79279%;,68.6434%;
44,"Gerard Quivy
Charmes-Chambertin Grand Cru 2018",2018,$262.49,49.2292%;,31.7083%;,15.9764%;,79.3089%;
45,"Mongeard-Mugneret
Grands-Echezeaux Grand Cru 2021",2021,$655.19,45.2695%;,35.6596%;,14.2871%;,69.0289%;
46,"Domaine Ponsot
Clos de la Roche Grand Cru Cuvée Vieilles Vignes 2017",2017,$892.49,45.2695%;,35.6596%;,14.2871%;,69.0289%;
47,"Domaine Trapet
Chambertin Grand Cru 2007",2007,$629.99,44.2884%;,35.9448%;,10.7859%;,72.6689%;
48,"Louis Jadot
Bonnes Mares Grand Cru 2003",2003,$589.99,45.6158%;,37.3723%;,8.33778%;,69.8092%;
