,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Yves Cuilleron
Côte-Rôtie Madinière 2020",2020,$98.69,69.5897%;,64.1831%;,5.76412%;,66.1531%;
1,"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape 2021",2021,$49.95,80.7265%;,37.2329%;,7.72286%;,43.6808%;
2,"Domaine du Tunnel
Vin Noir Cornas 2019",2019,$100.79,85%;,53.3501%;,12.7967%;,55.3863%;
3,"E. Guigal
Côte-Rôtie Brune & Blonde de Guigal 2020",2020,$104.99,73.3237%;,66.2092%;,5.10272%;,64.4942%;
4,"E. Guigal
Hermitage 2020",2020,$104.99,84.1013%;,68.6774%;,5.78623%;,55.108%;
5,"Domaine de la Janasse
Châteauneuf-du-Pape Vieilles Vignes 2021",2021,$115.49,85%;,42.0881%;,17.4804%;,44.0526%;
6,"Domaine de la Mordorée
La Dame Voyageuse Châteauneuf-du-Pape 2021",2021,$94.99,82.1956%;,42.2083%;,17.1337%;,47.3649%;
7,"Domaine de Beaurenard
Châteauneuf-du-Pape Boisrenard 2020",2020,$122.39,80.6425%;,40.3792%;,6.12042%;,42.8809%;
8,"Domaine Saint Préfert
Réserve Auguste Favier Châteauneuf-du-Pape 2019",2019,$83.63,83.7972%;,40.2814%;,14.6406%;,42.8996%;
9,"Domaine de Beaurenard
Châteauneuf-du-Pape 2019",2019,$71.39,84.5972%;,41.9308%;,6.78568%;,44.479%;
10,"Domaine Saint Préfert
Domaine Isabel Ferrando Colombis Châteauneuf-du-Pape 2019",2019,$168.29,84.802%;,43.3389%;,15.1412%;,46.4238%;
11,"Jean Baptiste Souillard
Cornas Saint-Pierre 2015",2015,$109.99,85%;,55.2908%;,9.79386%;,51.864%;
12,"Château de la Font du Loup
Chateauneuf-du-Pape Rouge 2022",2022,$59.99,81.5186%;,39.7631%;,6.94953%;,46.7445%;
13,"Marc Sorrel
Hermitage 2015",2015,$239.99,77.8998%;,67.4108%;,9.43113%;,54.6822%;
14,"Colline Saint-Jean
Vacqueyras 2015",2015,$64.99,69.408%;,47.8028%;,7.47059%;,52.9951%;
15,"Domaine du Colombier
Hermitage Rouge 2010",2010,$179.99,85%;,69.0596%;,10.9242%;,52.8832%;
16,"Domaine du Tunnel
Cornas 2016",2016,$89.99,82.8837%;,48.3079%;,9.9885%;,54.2324%;
17,"Paul Autard
Châteauneuf-du-Pape 1994",1994,$78.99,85%;,39.3746%;,6.73618%;,45.5976%;
18,"Château de la Font du Loup
Les Demoiselles de la Font du Loup Chateauneuf du Pape 2022",2022,$49.99,66.9714%;,43.8954%;,5.08376%;,55.8032%;
19,"Domaine du Tunnel
Cornas 2019",2019,$89.99,82.8837%;,48.3079%;,9.9885%;,54.2324%;
20,"Pegau
Cuvée Réservée Châteauneuf-du-Pape Rouge 2021",2021,$89.99,85%;,42.4106%;,12.0861%;,44.4954%;
21,"La Bastide Saint Dominique
Châteauneuf du Pape Rouge 2019",2019,$63.24,85%;,38.7507%;,3.25057%;,43.2383%;
22,"Olivier & Lafont
Gigondas 2019",2019,$24.99,67.3886%;,43.1706%;,11.2304%;,55.8025%;
23,"Bosquet des Papes
Châteauneuf-du-Pape (Cuvée Tradition) 2020",2020,$99.99,85%;,40.9902%;,5.02526%;,45.4807%;
24,"Château de Saint Cosme
Gigondas 2021",2021,$49.99,66.5193%;,51.9377%;,8.9478%;,54.402%;
25,"Château de Saint Cosme
Saint Cosme Saint Joseph 2020",2020,$42.99,76.7051%;,50.6861%;,5.50057%;,55.5354%;
26,"Lavau
Châteauneuf-du-Pape 2019",2019,$49.44,85%;,44.6446%;,9.27797%;,46.0302%;
27,"André Brunel
Les Cailloux Cuvée Centenaire Châteauneuf-du-Pape 2019",2019,$299,81.3608%;,40.7594%;,17.7157%;,44.0232%;
28,"Château de Beaucastel
Châteauneuf-du-Pape 2021",2021,$109.95,83.2174%;,39.8547%;,10.6892%;,45.0798%;
29,"Delas
Haute Pierre Châteauneuf-du-Pape 2019",2019,$58.95,83.8763%;,40.4701%;,7.06119%;,46.5973%;
30,"E. Guigal
Château d'Ampuis Côte-Rôtie 2016",2016,$317,73.0045%;,66.6602%;,9.70693%;,64.9365%;
