,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Thibault Liger-Belair
Clos Vougeot Grand Cru 2020",2020,$442.04,44.8449%;,33.4174%;,14.2065%;,68.4988%;
1,"Domaine Chapelle de Blagny
Blagny 1er Cru 'Sous le Dos d'Ane' 2015",2015,$69.29,28.8584%;,25.1941%;,6.97489%;,69.4943%;
2,"Domaine Tollot-Beaut
Aloxe-Corton 1er Cru Les Vercots 2021",2021,$118.64,34.3356%;,23.8548%;,12.3718%;,60.9174%;
3,"Chandon de Briailles
Île des Vergelesses Pernand-Vergelesses 1er Cru Rouge 2018",2018,$111.29,31.3403%;,22.895%;,2.70458%;,63.3037%;
4,"Chandon de Briailles
Les Lavières Savigny-lès-Beaune 1er Cru 2018",2018,$91.34,33.7948%;,25.6791%;,3.30416%;,64.5418%;
5,"Domaine Henri Gouges
Les Saint Georges Nuits-Saint-Georges 1er Cru 2020",2020,$543.89,44.5091%;,34.7263%;,11.4615%;,74.9698%;
6,"Domaine Jean Grivot
Nuits-St-Georges Les Charmois 2021",2021,$121.79,38.602%;,34.6712%;,6.90599%;,70.2157%;
7,"Domaine Chanzy
Mercurey 1er Cru 'Clos du Roy' Rouge 2020",2020,$61.94,20.3141%;,22.4288%;,4.16604%;,59.3261%;
8,"Louis Latour
Pommard-Epenots Premier Cru 2021",2021,$132.29,39.6107%;,26.4419%;,3.40199%;,64.9487%;
9,"Domaine Pierre Gelin
Fixin 1er Cru 'Les Hervelets' 2020",2020,$99.74,34.4575%;,30.2935%;,2.97217%;,67.6888%;
10,"Chandon de Briailles
Corton Grand Cru 'Clos du Roi' 2020",2020,$397.94,39.6745%;,31.6423%;,12.6168%;,61.7159%;
11,"Louis Latour
Chambolle-Musigny 1er Cru Les Charmes 2021",2021,$157.49,31.6573%;,28.4202%;,0px;,70.7089%;
12,"Louis Latour
Nuits-Saint-Georges 1er Cru Les Damodes 2019",2019,$162.74,36.684%;,33.4654%;,2.5837%;,74.9012%;
13,"Château de la Crée
Chevalier de la Crée Knights Templar Cuvée Côte de Beaune Rouge 2019",2019,$51.44,31.003%;,27.8374%;,0px;,65.2048%;
14,"Clos de la Chapelle
Beaune 1er Cru 'Champs Pimont' 2017",2017,$73.49,31.259%;,30.3831%;,6.79736%;,62.1972%;
15,"Seguin-Manuel
Vieilles Vignes Nuits-Saint-Georges 2020",2020,$80.84,40.9139%;,33.7143%;,14.2692%;,70.8022%;
16,"Michel Magnien
Morey-Saint-Denis Premier Cru Climats d'Or 2021",2021,$125.99,43.2237%;,34.6815%;,0px;,75.0729%;
17,"Michael Shaps
Volnay 2019",2019,$73.49,31.2605%;,22.3445%;,3.08824%;,67.5%;
18,"Domaine Ponsot
Chapelle-Chambertin Grand Cru 2020",2020,$993.29,45.6693%;,40.1359%;,3.89195%;,73.2969%;
19,"Domaine Nicolas Rossignol
Volnay 1er Cru 'Santenots' 2017",2017,$192.14,34.3017%;,29.2569%;,6.26742%;,65.0366%;
20,"Michel Magnien
Chambolle-Musigny Premier Cru 'Sentiers' 2021",2021,$204.74,42.0993%;,39.2549%;,4.14901%;,67.079%;
21,"Chandon de Briailles
Les Lavières Savigny-lès-Beaune 1er Cru 2020",2020,$107.09,33.7948%;,25.6791%;,3.30416%;,64.5418%;
22,"Chandon de Briailles
Corton Grand Cru 'Les Bressandes' 2020",2020,$304.49,42.1587%;,28.7733%;,1.50837%;,60.9876%;
23,"Louis Latour
Corton Grand Cru Clos Du Roi 2020",2020,$209.99,30.7625%;,22.2672%;,5.32591%;,64.0169%;
24,"Louis Latour
Corton-Perrières Grand Cru 2020",2020,$209.99,34.8677%;,29.2517%;,3.63784%;,58.4029%;
25,"Domaine Nicolas Rossignol
Volnay 1er Cru 'Clos des Angles' 2020",2020,$185.84,35.552%;,24.2821%;,7.43466%;,60.2552%;
26,"Domaine Pierre Gelin
Gevrey-Chambertin Clos de Meixvelle 2020",2020,$99.74,40.1744%;,30.8168%;,14.6645%;,68.2271%;
27,"Domaine Henri Gouges
Clos des Porrets Nuits-Saint-Georges 1er Cru 2021",2021,$138.59,42.8036%;,37.0916%;,7.33228%;,71.1162%;
28,"Pierre Guillemot
Savigny Aux Serpentières Premier Cru 2019",2019,$64.25,27.7118%;,24.0886%;,2.65721%;,66.4198%;
