name,year,price,bodyPercent,Tanning,Sugar,Acidic
"Rotem & Mounir Saouma
Omnia Châteauneuf-du-Pape 2017",2017,$149.99,78.2383%;,39.6449%;,8.45092%;,45.4603%;
"Domaine du Vieux Lazaret
Cuvée Exceptionnelle Châteauneuf-du-Pape 2016",2016,$174.99,84.8211%;,38.4035%;,12.4306%;,43.2552%;
"Château de Beaucastel
Châteauneuf-du-Pape 2006",2006,$199.99,83.2174%;,39.8547%;,10.6892%;,45.0798%;
"Jean-Luc Colombo
Syrah Cornas La Louvée 2013",2013,$122.67,75.0205%;,47.2005%;,5.15082%;,54.3777%;
"Château de Saint Cosme
Gigondas Le Poste 2021",2021,$175.99,62.5517%;,51.3938%;,16.3194%;,56.8169%;
"Rotem & Mounir Saouma
Arioso Châteauneuf-du-Pape 2017",2017,$249.99,75.4475%;,39.1928%;,17.6076%;,48.3246%;
"Nicolas Champagneux
Les Grandes Places Côte Rôtie 2016",2016,$118.33,73.5034%;,62.9184%;,0px;,66.733%;
"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape Cuvée Barberini 2016",2016,$104.99,85%;,39.0621%;,17.1404%;,43.2967%;
"Rotem & Mounir Saouma
Arioso Châteauneuf-du-Pape 2020",2020,$229.99,75.4475%;,39.1928%;,17.6076%;,48.3246%;
"Château de la Font du Loup
Chateauneuf-du-Pape Rouge 2020",2020,$69.99,81.5186%;,39.7631%;,6.94953%;,46.7445%;
"Domaine Garon
Lancement Côte-Rôtie 2013",2013,$136.99,67.3511%;,63.6513%;,7.80573%;,66.2548%;
"Jean-Michel Gerin
Les Grandes Places Côte-Rôtie 2019",2019,$192,73.1031%;,63.6177%;,17.1175%;,63.7115%;
"Jean-Michel Gerin
Champin le Seigneur Côte-Rôtie 2017",2017,$80,70.1467%;,67.0028%;,6.40203%;,64.9755%;
"M. Chapoutier
Ermitage Le Méal 2011",2011,$659.17,82.9412%;,67.4531%;,14.5911%;,55.5257%;
"Domaine Brun Avril
Châteauneuf-du-Pape Rouge 2019",2019,$55,84.9386%;,39.5589%;,0.653793%;,45.1627%;
"Francois Villard
Côte-Rôtie Le Gallet Blanc 2017",2017,$80,74.9826%;,65.8136%;,6.67641%;,63.3228%;
"Clos du Mont-Olivet
Châteauneuf-du-Pape La Cuvée du Papet 2015",2015,$177.24,85%;,42.9088%;,17.1178%;,47.2335%;
"Domaine de Cristia
Châteauneuf-du-Pape Vieilles Vignes 2020",2020,$131.75,83.3359%;,39.6296%;,20.706%;,42.3198%;
"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape Cuvée Barberini 2020",2020,$93.95,85%;,39.0621%;,17.1404%;,43.2967%;
"Château Mont-Redon
Le Plateau Châteauneuf-du-Pape 2017",2017,$244.76,80.0888%;,40.1521%;,7.30425%;,47.0465%;
"Vignobles Mayard
La Crau de ma Mère Châteauneuf-du-Pape Rouge 2020",2020,$74.27,85%;,41.1242%;,10.4812%;,44.292%;
"Domaine Jean-Louis Chave
Hermitage Selection Farconnet 2020",2020,$98.60,85%;,69.0974%;,6.74481%;,55.4596%;
"Domaine La Barroche
Châteauneuf-du-Pape 2020",2020,$71.40,85%;,41.948%;,12.8143%;,43.6772%;
"Domaine de Cristia
Châteauneuf-du-Pape Renaissance 2020",2020,$99.99,85%;,38.6655%;,12.9217%;,40.9537%;
"Domaine Saint Préfert
Domaine Isabel Ferrando Colombis Châteauneuf-du-Pape 2020",2020,$195.50,84.802%;,43.3389%;,15.1412%;,46.4238%;
"Château Mont-Redon
Châteauneuf-du-Pape 2020",2020,$70.34,85%;,38.4515%;,6.41407%;,43.9535%;
"Laurent Fayolle
Les Diognières Hermitage 2021",2021,$118.16,85%;,57.2817%;,0px;,56.5079%;
"Domaine Georges Vernay
Blonde du Seigneur Côte-Rôtie 2019",2019,$146.15,69.2503%;,66.7818%;,5.97317%;,64.8773%;
"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape Cornelia Constanza 2020",2020,$119.27,81.2009%;,43.97%;,22.6227%;,50.3302%;
"Clos du Mont-Olivet
Châteauneuf-du-Pape La Cuvée du Papet 2019",2019,$140.10,85%;,42.9088%;,17.1178%;,47.2335%;
"Domaine Olivier Hillaire
Châteauneuf-du-Pape 2020",2020,$44.94,85%;,36.8048%;,6.55735%;,41.4485%;
"Pierre Usseglio
Châteauneuf-du-Pape 2019",2019,$49.94,84.5346%;,39.5271%;,9.93002%;,44.4859%;
"Domaine Giraud
Grenaches de Pierre Châteauneuf-du-Pape 2020",2020,$129.94,83.3051%;,42.673%;,19.6502%;,45.341%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 2020",2020,$179.94,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Domaine de Beaurenard
Châteauneuf-du-Pape 2020",2020,$54.94,84.5972%;,41.9308%;,6.78568%;,44.479%;
"Pierre Gaillard
Côte-Rôtie Rose Pourpre 2018",2018,$134.94,69.9661%;,66.1144%;,7.11668%;,65.0173%;
"M. Chapoutier
Châteauneuf-du-Pape La Bernardine 2020",2020,$56.99,82.6599%;,38.4786%;,7.20969%;,44.5317%;
"Delas
Domaine des Tourettes Hermitage Rouge 2019",2019,$101.99,84.5011%;,68.8611%;,8.14373%;,55.9865%;
"Pegau
Châteauneuf-du-Pape Cuvée Laurence 2018",2018,$102.99,83.5078%;,40.4617%;,13.9384%;,44.3571%;
"Ogier
Clos de l'Oratoire des Papes Châteauneuf-du-Pape 2021",2021,$76.99,84.1766%;,38.5062%;,7.62827%;,45.19%;
"Le Vieux Donjon
Châteauneuf-du-Pape 2020",2020,$69.99,83.7684%;,40.0149%;,10.5809%;,43.9631%;
"Domaine des Espiers
Gigondas Les Grames 2019",2019,$31.99,67.971%;,46.0533%;,7.27899%;,51.3726%;
