,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Domaine Jacques Prieur
Beaune Champs-Pimont 1er Cru Rouge 2020",2020,$129.99,37.0138%;,23.6839%;,5.08133%;,64.1232%;
1,"Hubert Lamy
La Goujonne Vieilles Vignes Chassagne-Montrachet 2021",2021,$112.10,36.3141%;,23.7808%;,4.75685%;,63.47%;
2,"François Mikulski
Volnay 1er Cru 'Santenots du Milieu' 2019",2019,$141.55,33.2455%;,23.7597%;,7.69728%;,62.3601%;
3,"Lignier-Michelot
Morey-Saint-Denis Premier Cru 'Aux Charmes' 2018",2018,$660.99,42.183%;,27.1768%;,5.06966%;,71%;
4,"Domaine Armand Heitz
Pommard 1er Cru 'Les Pézerolles' 2020",2020,$132.83,37.3907%;,25.1392%;,8.60041%;,57.4205%;
5,"Domaine Faiveley
Mercurey 1er Cru Clos des Myglands 2020",2020,$97.74,24.7022%;,22.9141%;,4.23243%;,64.3352%;
6,"Jean-Michel Guillon
Cuvée Mes Trois Fils Gevrey-Chambertin 2019",2019,$80.49,41.3277%;,36.3918%;,28.3034%;,54.4436%;
7,"Domaine Fourrier
Vieille Vigne Vougeot Les Petits Vougeot 1er Cru 2015",2015,$919.99,43.8359%;,33.7635%;,11.3646%;,73.4785%;
8,"Hubert Lignier
Chambolle-Musigny 1er Cru 'Les Chabiots' 2014",2014,$287.49,43.9934%;,30.0303%;,10.2171%;,63.475%;
9,"Domaine Anne et Herve Sigaut
Morey-Saint-Denis 1er Cru 'Les Charrières' 2016",2016,$97.74,38.2319%;,34.5149%;,9.75438%;,70.0593%;
10,"Domaine Faiveley
Nuits-Saint-Georges 1er Cru Aux Chaignots 2018",2018,$160.99,42.1667%;,37.249%;,5.00719%;,74.6338%;
11,"Domaine Faiveley
Nuits-Saint-Georges 2019",2019,$89.99,41.4336%;,32.3279%;,9.54072%;,71.6581%;
12,"Domaine Faiveley
La Combe d'Orveau Chambolle-Musigny 1er Cru 2018",2018,$359,47.7166%;,41.0738%;,9.27963%;,74.6735%;
13,"Domaine Ponsot
Chapelle-Chambertin Grand Cru 2018",2018,$721,45.6693%;,40.1359%;,3.89195%;,73.2969%;
14,"Albert Bichot
Vosne-Romanée 1er Cru 'Les Malconsorts' 2017",2017,$199.99,45.2976%;,34.8978%;,13.1709%;,72.649%;
15,"Matrot
Blagny 1er Cru 'La Pièce sous le Bois' 2017",2017,$387,30.7081%;,19.3964%;,7.79507%;,61.0092%;
16,"Jacques-Frederic Mugnier
Nuits-Saint-Georges Premier Cru 'Clos de la Maréchale' 2007",2007,$457,41.1221%;,32.6618%;,11.0228%;,69.6476%;
17,"Domaine Arnoux-Lachaux
Nuits-Saint-Georges 1er Cru 'Les Corvées Pagets' 2013",2013,$798,44.7256%;,35.6752%;,16.5683%;,71.0206%;
18,"Domaine Taupenot-Merme
Chambolle Musigny 2017",2017,$343,37.6822%;,31.7702%;,6.35914%;,69.3531%;
19,"Domaine Ponsot
Chapelle-Chambertin Grand Cru 2016",2016,$739,45.6693%;,40.1359%;,3.89195%;,73.2969%;
20,"Roblet-Monnot Pere et Fils
Volnay 'Saint François' 2017",2017,$114.99,29.8261%;,23.9424%;,3.14145%;,63.7126%;
21,"Hubert Lignier
Charmes-Chambertin Grand Cru 2013",2013,$402.49,39.6702%;,32.6526%;,5.49897%;,71.1973%;
22,"Domaine Faiveley
Chambolle-Musigny 2020",2020,$160.99,35.8633%;,33.0242%;,6.91147%;,69.013%;
23,"Domaine Bernard Moreau et Fils
Chassagne-Montrachet Vieilles Vignes 2020",2020,$100.30,35.2211%;,23.8021%;,3.54519%;,63.9947%;
24,"Pascal Marchand-Tawse
Nuits-Saint-Georges 2020",2020,$83.17,41.5792%;,34.3116%;,4.79739%;,72.1302%;
25,"Mongeard-Mugneret
Gevrey-Chambertin 2020",2020,$160.99,43.9746%;,35.3871%;,18.0433%;,63.3477%;
26,"Domaine Roulot
Auxey-Duresses Premier Cru 2017",2017,$105.02,29.8172%;,22.8426%;,3.70982%;,64.4027%;
27,"Domaine de l'Arlot
Nuits-Saint-Georges Premier Cru Clos des Forets Saint-Georges 2021",2021,$159.99,44.5815%;,36.4356%;,9.67059%;,73.098%;
28,"Domaine Bruno Clavelier
Vieilles Vignes Nuits-Saint-Georges 1er Cru 'Aux Cras' 2015",2015,$179.97,44.8167%;,30.9479%;,1.75833%;,67.6354%;
29,"Château de Marsannay
Gevrey-Chambertin 2016",2016,$119.99,45.2539%;,34.6578%;,0px;,73.1001%;
