,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Jean Baptiste Souillard
Côteaux de Bassenon Côte-Rôtie 2017",2017,$109.99,70.6743%;,76.8256%;,0px;,68.3553%;
1,"Pegau
Cuvée Réservée Châteauneuf-du-Pape Rouge 2020",2020,$79.99,85%;,42.4106%;,12.0861%;,44.4954%;
2,"Château de Beaucastel
Châteauneuf-du-Pape 1995",1995,$343,83.2174%;,39.8547%;,10.6892%;,45.0798%;
3,"Domaine du Vieux Télégraphe
Télégramme Châteauneuf-du-Pape 2020",2020,$72.99,82.0464%;,40.35%;,5.56647%;,47.0839%;
4,"E. Guigal
Ermitage Ex-Voto 2013",2013,$518,82.7338%;,69.9444%;,13.4667%;,56.4577%;
5,"Château de Beaucastel
Châteauneuf-du-Pape 2001",2001,$271,83.2174%;,39.8547%;,10.6892%;,45.0798%;
6,"Clos du Caillou
La Réserve Châteauneuf-du-Pape 2020",2020,$340,82.9909%;,40.5243%;,18.2929%;,42.0424%;
7,"Domaine Philippe et Vincent Jaboulet
Cornas 2017",2017,$91.99,83.4781%;,46.2292%;,14.9848%;,52.4382%;
