,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"M. Chapoutier
Côte-Rôtie La Mordorée 2016",2016,$367.50,69.3427%;,66.1683%;,5.99777%;,64.7653%;
1,"E. Guigal
Hermitage 2018",2018,$99.99,84.1013%;,68.6774%;,5.78623%;,55.108%;
2,"M. Chapoutier
Hermitage Monier de la Sizeranne 2018",2018,$183.33,80.8965%;,66.781%;,8.96783%;,54.7082%;
3,"Domaine Jean-Michel Stéphan
Côte-Rôtie Côteaux de Bassenon 2020",2020,$184,71.3102%;,68.5555%;,9.25551%;,64.9992%;
4,"Jean-Luc Colombo
Syrah Cornas Les Ruchets 2018",2018,$122.67,85%;,50.2869%;,9.1738%;,56.1419%;
5,"Dionysos
La Trilougio Cairanne 2021",2021,$35.17,74.2826%;,54.2964%;,6.1749%;,58.7302%;
6,"Jean-Michel Gerin
La Viallière Côte-Rôtie 2017",2017,$96,71.7089%;,69.5083%;,1.63488%;,63.3173%;
7,"Paul Jaboulet Aîné
Hermitage 'La Maison Bleue' 2016",2016,$80,85%;,67.9348%;,8.14653%;,56.1344%;
8,"M. Chapoutier
Côte-Rôtie Les Bécasses 2019",2019,$128.33,70.6343%;,68.0481%;,8.1868%;,65.3146%;
9,"Rotem & Mounir Saouma
Omnia Châteauneuf-du-Pape 2019",2019,$129.99,78.2383%;,39.6449%;,8.45092%;,45.4603%;
10,"Château de Saint Cosme
Gigondas Le Claux 2020",2020,$175.99,65.0874%;,53.6339%;,11.3159%;,55.2799%;
11,"Château de Nalys
Châteauneuf-du-Pape Rouge 2017",2017,$109.99,83.6389%;,38.808%;,9.13121%;,44.7517%;
12,"Domaine de Châteaumar
Secret de Nos Vignes Châteauneuf-du-Pape 2021",2021,$50,85%;,38.7176%;,7.3472%;,43.4917%;
13,"Jean Baptiste Souillard
Côteaux de Bassenon Côte-Rôtie 2014",2014,$115.99,70.6743%;,76.8256%;,0px;,68.3553%;
14,"Domaine Duclaux
Châteauneuf-du-Pape Rouge 2018",2018,$49.99,84.2382%;,37.4045%;,7.42838%;,43.1034%;
15,"Paul Jaboulet Aîné
Hermitage 'La Maison Bleue' 2015",2015,$74.17,85%;,67.9348%;,8.14653%;,56.1344%;
16,"Rotem & Mounir Saouma
Omnia Châteauneuf-du-Pape 2018",2018,$129.99,78.2383%;,39.6449%;,8.45092%;,45.4603%;
17,"Domaine de Beaurenard
Gran Partita Châteauneuf-du-Pape 2015",2015,$160,85%;,43.2131%;,4.31219%;,46.6724%;
18,"Château de la Font du Loup
Legend Châteauneuf du Pape 2021",2021,$105.99,82.4025%;,41.2375%;,2.5975%;,43.8025%;
19,"Domaine de Beaurenard
Châteauneuf-du-Pape Boisrenard 2021",2021,$113.50,80.6425%;,40.3792%;,6.12042%;,42.8809%;
20,"Jean Luc Jamet
Terrasses Côte-Rôtie 2018",2018,$116.50,72.6645%;,66.8653%;,8.64193%;,63.9808%;
21,"Jean Luc Jamet
Terrasses Côte-Rôtie 2017",2017,$116.50,72.6645%;,66.8653%;,8.64193%;,63.9808%;
22,"Jean-Luc Colombo
Syrah Cornas Les Ruchets 2011",2011,$149.99,85%;,50.2869%;,9.1738%;,56.1419%;
23,"Domaine Bois de Boursan
Châteauneuf-du-Pape 2019",2019,$69.99,83.0837%;,45.7257%;,2.22835%;,46.6126%;
24,"Christophe Semaska
Lancement Côte-Rôtie 2016",2016,$174.95,55.9952%;,76.2937%;,11.4053%;,66.1384%;
25,"Jean-Michel Gerin
Les Grandes Places Côte-Rôtie 2016",2016,$188.99,73.1031%;,63.6177%;,17.1175%;,63.7115%;
26,"Pierre Jean Villa
Côte-Rôtie 'Fongeant' 2020",2020,$172.50,76.9016%;,76.1201%;,10.8228%;,66.1043%;
27,"Pierre Usseglio
Châteauneuf-du-Pape Cuvée de mon Aïeul 2019",2019,$114,85%;,41.0312%;,19.9819%;,43.1994%;
28,"Château de Saint Cosme
Gigondas Hominis Fides 2021",2021,$160.01,64.3479%;,52.7842%;,7.26797%;,55.355%;
29,"Domaine de la Janasse
Côtes du Rhône Les Garrigues 2019",2019,$57.75,68.6995%;,50.4609%;,3.48378%;,54.7238%;
30,"Clos du Mont-Olivet
Châteauneuf-du-Pape La Cuvée du Papet 2016",2016,$163.18,85%;,42.9088%;,17.1178%;,47.2335%;
31,"Domaine Alain Verset
Cornas 2020",2020,$67.52,83.1789%;,53.9465%;,6.47987%;,57.4998%;
32,"Clos du Mont-Olivet
Châteauneuf-du-Pape 2018",2018,$78.78,82.5381%;,42.822%;,9.15967%;,45.2899%;
33,"Clusel-Roch
Côte-Rôtie Champon 2020",2020,$139.40,64.3533%;,82.2603%;,0px;,71.1178%;
34,"Château de Rouanne
Guerin Vinsobres 2019",2019,$57.38,55%;,48.75%;,17.5%;,48.75%;
35,"Alain Graillot
La Guiraude Crozes-Hermitage 2020",2020,$83.27,65.097%;,54.1805%;,5.85018%;,48.932%;
36,"Vidal Fleury
Côte-Rotie Brune Et Blonde 2019",2019,$106.90,71.098%;,69.9155%;,8.40067%;,63.5554%;
37,"Domaine Chante Cigale
Pi Châteauneuf-du-Pape 2020",2020,$91.80,85%;,51.2952%;,0px;,42.5%;
