,index,wine_image,name,year,price,bodyPercent,dryOrSweet,Acidic,compareFoods,rating,about_wine
10,10,https://images.vivino.com/thumbs/seZaVAtTSuGZsOnfScFj5w_pb_x600.png,"Domaine de Saje
Châteauneuf-du-Pape Rouge 2019",2019,$49.99,85%;,33.3252%;,41.0622%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Domaine de Saje'], ['Grapes', 'Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites']]"
11,11,https://images.vivino.com/thumbs/PfKmWD0sQeWUwM9S81lB0A_pb_x600.png,"Dionysos
La Trilougio Cairanne 2021",2021,$35.17,74.2826%;,54.2964%;,58.7302%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Dionysos'], ['Grapes', 'Mourvedre, Shiraz/Syrah, Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Côtes-du-Rhône', 'Côtes-du-Rhône-Villages'], ['Wine style', 'Southern Rhône Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'An elegant nose that blends blackcurrant and cherry with hints of vanilla, tobacco and pepper, the mouth is silky, pleasant, fleshy with notes of violets.']]"
12,12,https://images.vivino.com/thumbs/0s3jk9SATR6HZ3QZfCeb_g_pb_x600.png,"Domaine de Châteaumar
Secret de Nos Vignes Châteauneuf-du-Pape 2021",2021,$50,85%;,38.7176%;,43.4917%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Domaine de Châteaumar'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Bright ruby-red. Powerful scents of cherry-vanilla, cassis and potpourri, with a smoky quality that gains power with air. Sappy and broad, offering plump red and dark berry flavors, a hint of bitter chocolate and a sweet cola nuance. Fine-grained tannins add shape and grip to the long, smoky, vanilla-tinged finish.']]"
13,13,https://images.vivino.com/thumbs/TLTvs6taTt6brYT2oohp3g_pb_x600.png,"Domaine Duclaux
Châteauneuf-du-Pape Rouge 2018",2018,$49.99,84.2382%;,37.4045%;,43.1034%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.3,"[['Winery', 'Domaine Duclaux'], ['Grapes', 'Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Deep garnet red colour. A very fruity nose with concentrated red berries, leather and liquorice. Great complexity and strength on the palate. Excellent Persistence.']]"
14,14,https://images.vivino.com/thumbs/b0fKR_dNSletorIbf0hXAg_pb_x600.png,"Piaugier
Gigondas 2020",2020,$39.38,63.5973%;,50.7662%;,55.0954%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Piaugier'], ['Grapes', 'Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Gigondas'], ['Wine style', 'Southern Rhône Red'], ['Allergens', 'Contains sulfites']]"
15,15,https://images.vivino.com/thumbs/_QyWeejWTLyr4E2NysVYeQ_pb_x600.png,"Domaine de Cristia
Châteauneuf-du-Pape 2019",2019,$39.94,84.4997%;,36.4305%;,42.4457%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.2,"[['Winery', 'Domaine de Cristia'], ['Grapes', '100% Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Robe with purple reflections. Color reveals distinctive violet highlights. The complex nose reveals aromas of violets and fruits of the woods. A refined and complex nose showing aromas and fruits of the forest. The attack in the mouth is generous and intense. The structure is balanced and harmonious.']]"
16,16,https://images.vivino.com/thumbs/EEplM2kvT6yqjeaIEvb5Zg_pb_x600.png,"Domaine Courbis
Champelrose Cornas 2020",2020,$49.94,85%;,50.4691%;,54.6165%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Domaine Courbis'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Cornas'], ['Wine style', 'Northern Rhône Cornas'], ['Allergens', 'Contains sulfites']]"
17,17,https://images.vivino.com/thumbs/NMYV-QW5Q0q98uaMTWTB0Q_pb_x600.png,"Domaine Courbis
La Cotte Sud Saint-Joseph 2020",2020,$49.94,74.9688%;,54.6146%;,54.158%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Domaine Courbis'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Saint-Joseph'], ['Wine style', 'Northern Rhône Saint-Joseph'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork']]"
18,18,https://images.vivino.com/thumbs/9jD7OfrLSY2N3CnOu-_wRA_pb_x600.png,"Château Sixtine
Châteauneuf-du-Pape 2020",2020,$49.94,85%;,40.1639%;,45.3162%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.2,"[['Winery', 'Château Sixtine'], ['Grapes', '100% Roussanne'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork']]"
19,19,https://images.vivino.com/thumbs/b1FpajZ0TnijSXB5NlvkXQ_pb_x600.png,"Domaine Courbis
Saint-Joseph Les Royes Rouge 2020",2020,$49.94,74.735%;,46.4338%;,53.3165%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Domaine Courbis'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Saint-Joseph'], ['Wine style', 'Northern Rhône Saint-Joseph'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites']]"
