,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Domaine des Comtes Lafon
Volnay 2020",2020,$165.15,35.0216%;,21.709%;,9.20637%;,63.2982%;
1,"Domaine Bruno Clavelier
Vieilles Vignes Chambolle-Musigny 1er Cru 'La Combe d'Orveaux' 2017",2017,$271.35,41.6904%;,33.172%;,8.31716%;,75.5857%;
2,"François Mikulski
Volnay 1er Cru 'Santenots du Milieu' 2021",2021,$152.22,33.2455%;,23.7597%;,7.69728%;,62.3601%;
3,"François Mikulski
Volnay 1er Cru 'Santenots du Milieu' 2020",2020,$152.22,33.2455%;,23.7597%;,7.69728%;,62.3601%;
4,"Domaine Bruno Clair
Gevrey-Chambertin 1er Cru 'Clos du Fonteny' Monopole 2021",2021,$271.35,42.6776%;,36.482%;,6.78072%;,70.7473%;
5,"Lignier-Michelot
Vieilles Vignes Morey-Saint-Denis 2020",2020,$94.35,49.5822%;,37.5115%;,9.24676%;,72.7137%;
6,"Domaine Marquis d'Angerville
Fremiet Volnay 1er Cru 2021",2021,$212.35,32.6602%;,25.0215%;,8.29497%;,63.0484%;
7,"Louis Jadot
Gevrey-Chambertin Premier Cru Clos Saint-Jacques 2021",2021,$305.62,45.3436%;,33.2903%;,8.20487%;,73.301%;
8,"Serafin Père & Fils
Morey-Saint Denis 1er Cru 'Les Millandes' 2015",2015,$165.15,47.2304%;,32.8957%;,7.30052%;,71.6636%;
9,"Louis Jadot
Gevrey-Chambertin Premier Cru Clos Saint-Jacques 2020",2020,$589.95,45.3436%;,33.2903%;,8.20487%;,73.301%;
10,"Domaine Bruno Clair
Vosne-Romanée 'Les Champs Perdrix' 2021",2021,$200.55,43.0422%;,33.5992%;,9.85681%;,73.9833%;
11,"Domaine Génot-Boulanger
Beaune-Grèves Premier Cru 2019",2019,$112.10,34.9355%;,24.915%;,0px;,64.209%;
12,"Philippe et Vincent Lécheneaut
Vosne-Romanée 2019",2019,$153.35,40.8024%;,32.3467%;,18.3405%;,70.8347%;
13,"Pierre Girardin
Corton Grand Cru 'Les Bressandes' 2021",2021,$223.02,30%;,17.5%;,0.269233%;,68.9423%;
14,"Darviot-Perrin
Volnay 1er Cru 'La Gigotte' 2021",2021,$129.75,30%;,17.5%;,0px;,67.5%;
15,"Pierre Damoy
Gevrey-Chambertin 'La Justice' 2014",2014,$106.15,50.0901%;,32.5039%;,4.08236%;,58.3304%;
16,"Michel Noëllat
Marsannay Es Chezots 2020",2020,$64.85,32.6923%;,31.9551%;,0px;,76.1827%;
17,"Domaine Bruno Clavelier
Vieilles Vignes Nuits-Saint-Georges 1er Cru 'Aux Cras' 2017",2017,$211.22,44.8167%;,30.9479%;,1.75833%;,67.6354%;
18,"Pierre Labet - François Labet
Vieilles Vignes Gevrey-Chambertin 2016",2016,$117.95,40.0905%;,31.8097%;,6.93462%;,69.4963%;
19,"François Confuron-Gindre
Vosne-Romanée 'Les Hautes-Maizières' 2018",2018,$141.60,45.4813%;,30.8367%;,15.568%;,68.1156%;
20,"François Confuron-Gindre
Vosne-Romanée 2020",2020,$129.75,39.9631%;,37.7424%;,8.09899%;,71.7215%;
21,"Pierre Damoy
Fixin 'Les Mogottes' 2018",2018,$140.42,48.9805%;,44.2342%;,0px;,75.1247%;
22,"Pierre Labet - François Labet
Beaune Coucherias 1er Cru 2018",2018,$129.75,31.9633%;,19.8936%;,8.20311%;,60.2996%;
23,"Domaine Bruno Clair
Gevrey-Chambertin 1er Cru 'Les Cazetiers' 2020",2020,$353.95,44.6784%;,40.2283%;,4.95113%;,71.8041%;
24,"Domaine Frédéric Esmonin
Gevrey-Chambertin 'Clos Prieur' 2021",2021,$70.75,37.6613%;,32.8177%;,7.66552%;,72.7692%;
25,"Lignier-Michelot
Vieilles Vignes Chambolle-Musigny 2019",2019,$88.45,41.2361%;,31.6445%;,16.3162%;,67.0512%;
26,"Dugat-Py
Pommard 'La Levrière' Vieilles Vignes 2019",2019,$224.15,37.9399%;,27.5813%;,11.2206%;,61.6888%;
27,"Arnaud Mortet
Cuvée de Très Vieilles Vignes Gevrey-Chambertin 2020",2020,$200.55,45.7851%;,46.9504%;,23.4091%;,56.9938%;
28,"Domaine Nicole Lamarche (François Lamarche)
Vosne-Romanée 1er Cru 'Les Chaumes' 2018",2018,$165.15,37.7204%;,31.8102%;,14.2253%;,69.7216%;
29,"Claude Dugat
Gevrey-Chambertin 1er Cru 'Lavaux St Jacques' 2021",2021,$506.22,52.3251%;,38.389%;,12.9147%;,68.4746%;
30,"Domaine Perrot-Minot
Morey-Saint-Denis 1er Cru 'La Riotte' 2016",2016,$230.10,52.3251%;,38.389%;,12.9147%;,68.4746%;
31,"Hudelot-Noëllat
Vosne-Romanée 1er Cru 'Les Suchots' 2020",2020,$588.82,40.7004%;,37.3453%;,12.0177%;,75.3593%;
32,"Domaine Castagnier
Clos De Vougeot Grand Cru 2016",2016,$234.82,59.2178%;,36.18%;,4.83384%;,73.0654%;
33,"Bouchard Père & Fils
Vigne de l'Enfant Jésus Beaune 1er Cru 'Les Grèves' 2020",2020,$200.55,34.9407%;,24.5529%;,10.3734%;,62.3502%;
34,"Dugat-Py
Vieilles Vignes Gevrey-Chambertin Cuvée Cœur de Roy 2020",2020,$259.55,50.3527%;,40.9839%;,14.414%;,71.7262%;
35,"Jean-Claude Ramonet
Chassagne-Montrachet Rouge 2020",2020,$106.15,33.9252%;,22.3322%;,7.65436%;,66.2503%;
36,"Domaine Lejeune
Pommard 1er Cru 'Les Argillières' 2021",2021,$79.99,34.8983%;,33.5295%;,4.33%;,59.0591%;
37,"Jean-Michel Guillon
Cuvée Père Galland Gevrey-Chambertin 2018",2018,$87.99,46.7891%;,37.7583%;,17.2094%;,65.4703%;
38,"Jean-Claude Boisset
Gevrey-Chambertin 2013",2013,$69.95,40.9576%;,28.3228%;,4.3764%;,74.7484%;
39,"Domaine de la Vougeraie
Gevrey-Chambertin La Justice 2013",2013,$64.95,41.9709%;,32.3343%;,13.6059%;,66.7671%;
40,"Domaine de Courcel
Pommard Premier Cru 'Grand Clos des Épenots' 2011",2011,$89.95,42.5449%;,34.9721%;,7.73141%;,63.767%;
41,"Domaine Jean Grivot
Nuits-St-Georges 1er Cru Les Roncieres 2011",2011,$153.99,44.8015%;,34.4286%;,12.5587%;,69.1709%;
42,"Pierre Guillemot
Savigny Aux Serpentières Premier Cru 2020",2020,$64.04,44.8015%;,34.4286%;,12.5587%;,69.1709%;
43,"Albert Bichot
Santenay 1er Cru 'Clos Rousseau' 2018",2018,$65.09,30.2135%;,21.0054%;,0.276813%;,64.0878%;
44,"Michel Magnien
Gevrey-Chambertin Premier Cru 'Cazetiers' 2021",2021,$177.44,42.2135%;,39.697%;,0.252585%;,74.23%;
45,"Michel Magnien
Chambolle-Musigny 'Argillières' 2021",2021,$123.89,41.4542%;,38.5319%;,0px;,68.5%;
46,"Chandon de Briailles
Les Vergelesses Pernand-Vergelesses 1er Cru 2019",2019,$83.99,41.4542%;,38.5319%;,0px;,68.5%;
47,"Thibault Liger-Belair
Chambolle-Musigny 2020",2020,$192.14,44.9599%;,42.567%;,6.44831%;,61.7548%;
48,"Chandon de Briailles
Corton Grand Cru 'Les Bressandes' 2012",2012,$295.04,42.1587%;,28.7733%;,1.50837%;,60.9876%;
49,"Domaine Maillard Père & Fils
Corton-Renardes Grand Cru 2018",2018,$170.09,32.1379%;,22.9154%;,7.30699%;,62.9564%;
50,"Pierre Mayeul
Gevrey Chambertin 2018",2018,$128.09,41.71%;,35.5233%;,15.2167%;,70.14%;
51,"Domaine Ponsot
Chapelle-Chambertin Grand Cru 2017",2017,$711.89,45.6693%;,40.1359%;,3.89195%;,73.2969%;
52,"Domaine Jean Grivot
Nuits-St-Georges 1er Cru Les Roncieres 2021",2021,$265.64,44.8015%;,34.4286%;,12.5587%;,69.1709%;
53,"Chandon de Briailles
Île des Vergelesses Pernand-Vergelesses 1er Cru Rouge 2020",2020,$120.74,31.3403%;,22.895%;,2.70458%;,63.3037%;
54,"Domaine Taupenot-Merme
Gevrey Chambertin Premier Cru Bel Air 2020",2020,$220.49,48.3608%;,41.0767%;,13.3127%;,70.8596%;
