,name,year,price,bodyPercent,Tanning,Sugar,Acidic
0,"Joseph Drouhin
Chambolle-Musigny Premier Cru 2021",2021,$199.42,37.5015%;,31.0681%;,3.76564%;,70.8709%;
1,"Benjamin Leroux
Gevrey-Chambertin 2021",2021,$129.75,40.5127%;,32.6969%;,10.52%;,70.5398%;
2,"Thibault Liger-Belair
Nuits-Saint-Georges Premier Cru 'Les Saint Georges' 2020",2020,$283.15,45.4524%;,34.4302%;,11.9053%;,71.3471%;
3,"Domaine Roulot
Auxey-Duresses Premier Cru 2018",2018,$140.42,29.8172%;,22.8426%;,3.70982%;,64.4027%;
4,"Louis Jadot
Chambertin Clos de Beze Grand Cru 2017",2017,$466.10,48.3908%;,35.5523%;,12.5024%;,70.9876%;
5,"Domaine des Héritiers Louis Jadot
Corton-Pougets Grand Cru Rouge 2017",2017,$140.42,39.799%;,32.7377%;,6.45853%;,63.5296%;
6,"Domaine des Comtes Lafon
Volnay Santenots-Du-Milieu Premier Cru 2018",2018,$224.20,36.6708%;,28.9438%;,8.59141%;,63.9107%;
7,"Louis Jadot
Chambertin Clos de Beze Grand Cru 2021",2021,$649,48.3908%;,35.5523%;,12.5024%;,70.9876%;
8,"Louis Jadot
Bonnes Mares Grand Cru 2019",2019,$530.95,45.6158%;,37.3723%;,8.33778%;,69.8092%;
9,"Domaine des Comtes Lafon
Volnay Santenots-Du-Milieu Premier Cru 2021",2021,$271.35,36.6708%;,28.9438%;,8.59141%;,63.9107%;
10,"Louis Jadot
Chambertin Grand Cru 2015",2015,$466.10,46.4922%;,30.3026%;,1.95028%;,71.2216%;
11,"Pierre Labet - François Labet
Vieilles Vignes Gevrey-Chambertin 2017",2017,$117.95,40.0905%;,31.8097%;,6.93462%;,69.4963%;
12,"Domaine Perrot-Minot
Bourgogne 'Gravières des Chaponnières' 2018",2018,$66.08,34.6729%;,23.2616%;,9.96057%;,66.3548%;
13,"Gilbert et Christine Felettig
Chambolle-Musigny 1er Cru 'Les Gruenchers' 2020",2020,$212.35,41.0346%;,37.1179%;,16.1565%;,70.7886%;
14,"Michel Noëllat
Nuits-Saint-Georges 2020",2020,$94.35,45.1962%;,35.0596%;,13.4879%;,60.266%;
15,"Pierre Labet - François Labet
Beaune 'Clos du Dessus des Marconnets' Rouge 2017",2017,$94.35,33.015%;,23.5417%;,8.09602%;,66.6129%;
16,"Pierre Girardin
Pommard Premier Cru 'Les Epenots' 2021",2021,$175.82,31.6212%;,33.6023%;,0.155305%;,69.6288%;
17,"Roblet-Monnot Pere et Fils
Volnay 'Saint François' 2018",2018,$106.15,29.8261%;,23.9424%;,3.14145%;,63.7126%;
18,"Pierre Girardin
Pommard 'Les Noizons' 2019",2019,$76.70,37.9706%;,33.25%;,4.77941%;,66.4706%;
19,"Domaine Perrot-Minot
Orme des Chalandins Vosne-Romanée 2018",2018,$164.02,46.3743%;,40.008%;,6.33556%;,70.6738%;
20,"Louis Jadot - Domaine Gagey
Echézeaux Grand Cru 2016",2016,$294.95,47.2235%;,41.2104%;,8.74453%;,70.1692%;
21,"Michel Bouzereau
Beaune 1er Cru 'Les Vignes Franches' 2020",2020,$135.70,37.0455%;,21.7727%;,0px;,66.9034%;
22,"Domaine des Comtes Lafon
Volnay Clos des Chênes Premier Cru 2021",2021,$271.35,32.9217%;,22.1133%;,5.51471%;,67.2405%;
23,"Lignier-Michelot
Vieilles Vignes Chambolle-Musigny 2020",2020,$94.35,41.2361%;,31.6445%;,16.3162%;,67.0512%;
24,"Domaine Sylvain Cathiard
Nuits-Saint-Georges 1er Cru 'Aux Murgers' 2020",2020,$707.95,42.5787%;,32.8113%;,12.6565%;,74.1009%;
25,"Louis Jadot
Bonnes Mares Grand Cru 2017",2017,$442.50,45.6158%;,37.3723%;,8.33778%;,69.8092%;
